,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ceftriaxone,,,,,,,,,,,,,,,,,,,
1,Zosyn,,,,,,,,,,,,,,,,,,,
2,gentamicin,,,,,,,,,,,,,,,,,,,
3,ceftazidime,,,,,,,,,,,,,,,,,,,
4,Garamycin,,,,,,,,,,,,,,,,,,,
5,Claforan,,,,,,,,,,,,,,,,,,,
6,Mefoxin,,,,,,,,,,,,,,,,,,,
7,Fortaz,,,,,,,,,,,,,,,,,,,
8,cefotaxime,,,,,,,,,,,,,,,,,,,
9,Ceptaz,,,,,,,,,,,,,,,,,,,
10,Primaxin IV,,,,,,,,,,,,,,,,,,,
11,Tazicef,,,,,,,,,,,,,,,,,,,
12,cilastatin / imipenem,,,,,,,,,,,,,,,,,,,
13,piperacillin / tazobactam,,,,,,,,,,,,,,,,,,,
14,Primaxin IM,,,,,,,,,,,,,,,,,,,
15,cefoxitin,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
