,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Valium,,,,,,,,,,,,,,,,,,,
1,diazepam,,,,,,,,,,,,,,,,,,,
2,hyoscyamine,,,,,,,,,,,,,,,,,,,
3,Diazepam Intensol,,,,,,,,,,,,,,,,,,,
4,Anaspaz,,,,,,,,,,,,,,,,,,,
5,simethicone,,,,,,,,,,,,,,,,,,,
6,Diastat,,,,,,,,,,,,,,,,,,,
7,HyoMax SR,,,,,,,,,,,,,,,,,,,
8,Alka-Seltzer Anti-Gas,,,,,,,,,,,,,,,,,,,
9,Levsin SL,,,,,,,,,,,,,,,,,,,
10,HyoMax,,,,,,,,,,,,,,,,,,,
11,Isovue-370,,,,,,,,,,,,,,,,,,,
12,Diastat AcuDial,,,,,,,,,,,,,,,,,,,
13,Mylicon,,,,,,,,,,,,,,,,,,,
14,Cystospaz,,,,,,,,,,,,,,,,,,,
15,Hyosyne,,,,,,,,,,,,,,,,,,,
16,Isovue-300,,,,,,,,,,,,,,,,,,,
17,Levsin,,,,,,,,,,,,,,,,,,,
18,Diastat Pediatric,,,,,,,,,,,,,,,,,,,
19,Levbid,,,,,,,,,,,,,,,,,,,
20,Maalox Anti-Gas,,,,,,,,,,,,,,,,,,,
21,Phazyme,,,,,,,,,,,,,,,,,,,
22,Mylanta Gas,,,,,,,,,,,,,,,,,,,
23,NuLev,,,,,,,,,,,,,,,,,,,
24,Ovol,,,,,,,,,,,,,,,,,,,
25,Baby Gasz,,,,,,,,,,,,,,,,,,,
26,IB-Stat,,,,,,,,,,,,,,,,,,,
27,Symax SL,,,,,,,,,,,,,,,,,,,
28,Colidrops,,,,,,,,,,,,,,,,,,,
29,HyoMax SL,,,,,,,,,,,,,,,,,,,
30,Hyospaz,,,,,,,,,,,,,,,,,,,
31,Infantaire Gas Relief,,,,,,,,,,,,,,,,,,,
32,iopamidol,,,,,,,,,,,,,,,,,,,
33,Levsinex SR,,,,,,,,,,,,,,,,,,,
34,Oscimin,,,,,,,,,,,,,,,,,,,
35,Symax Duotab,,,,,,,,,,,,,,,,,,,
36,Symax SR,,,,,,,,,,,,,,,,,,,
37,A-Spaz,,,,,,,,,,,,,,,,,,,
38,Anti-Gas Ultra Strength,,,,,,,,,,,,,,,,,,,
39,Ed-Spaz,,,,,,,,,,,,,,,,,,,
40,Equalize Gas Relief Drops,,,,,,,,,,,,,,,,,,,
41,Gas Aide,,,,,,,,,,,,,,,,,,,
42,Gas Free Extra Strength,,,,,,,,,,,,,,,,,,,
43,Genasyme,,,,,,,,,,,,,,,,,,,
44,HyoMax DT,,,,,,,,,,,,,,,,,,,
45,HyoMax FT,,,,,,,,,,,,,,,,,,,
46,Levsinex,,,,,,,,,,,,,,,,,,,
47,Little Tummys,,,,,,,,,,,,,,,,,,,
48,Mi-Acid Gas Relief,,,,,,,,,,,,,,,,,,,
49,Mylanta Gas Maximum Strength,,,,,,,,,,,,,,,,,,,
50,Mytab Gas,,,,,,,,,,,,,,,,,,,
51,Spasdel,,,,,,,,,,,,,,,,,,,
52,Symax FasTab,,,,,,,,,,,,,,,,,,,
53,Isovue-200,,,,,,,,,,,,,,,,,,,
54,Isovue-250,,,,,,,,,,,,,,,,,,,
55,Isovue-M-200,,,,,,,,,,,,,,,,,,,
56,Isovue-M-300,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
