,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Diflucan,,,,,,,,,,,,,,,,,,,
1,fluconazole,,,,,,,,,,,,,,,,,,,
2,ketoconazole,,,,,,,,,,,,,,,,,,,
3,Vfend,,,,,,,,,,,,,,,,,,,
4,Sporanox,,,,,,,,,,,,,,,,,,,
5,amphotericin b,,,,,,,,,,,,,,,,,,,
6,itraconazole,,,,,,,,,,,,,,,,,,,
7,Eraxis,,,,,,,,,,,,,,,,,,,
8,Fungizone,,,,,,,,,,,,,,,,,,,
9,Mycamine,,,,,,,,,,,,,,,,,,,
10,Amphocin,,,,,,,,,,,,,,,,,,,
11,anidulafungin,,,,,,,,,,,,,,,,,,,
12,Cancidas,,,,,,,,,,,,,,,,,,,
13,Onmel,,,,,,,,,,,,,,,,,,,
14,Sporanox PulsePak,,,,,,,,,,,,,,,,,,,
15,voriconazole,,,,,,,,,,,,,,,,,,,
16,caspofungin,,,,,,,,,,,,,,,,,,,
17,micafungin,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
