,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,cyclosporine,,,,,,,,,,,,,,,,,,,
1,dexamethasone,,,,,,,,,,,,,,,,,,,
2,immune globulin intravenous,,,,,,,,,,,,,,,,,,,
3,Baycadron,,,,,,,,,,,,,,,,,,,
4,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
5,Decadron,,,,,,,,,,,,,,,,,,,
6,rituximab,,,,,,,,,,,,,,,,,,,
7,danazol,,,,,,,,,,,,,,,,,,,
8,Danocrine,,,,,,,,,,,,,,,,,,,
9,vincristine,,,,,,,,,,,,,,,,,,,
10,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
11,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
12,Carimune,,,,,,,,,,,,,,,,,,,
13,Privigen,,,,,,,,,,,,,,,,,,,
14,Dexasone LA,,,,,,,,,,,,,,,,,,,
15,Zema Pak,,,,,,,,,,,,,,,,,,,
16,Sandoglobulin,,,,,,,,,,,,,,,,,,,
17,De-Sone LA,,,,,,,,,,,,,,,,,,,
18,Dexacen-4,,,,,,,,,,,,,,,,,,,
19,Dexasone,,,,,,,,,,,,,,,,,,,
20,LoCort,,,,,,,,,,,,,,,,,,,
21,Solurex,,,,,,,,,,,,,,,,,,,
22,Solurex LA,,,,,,,,,,,,,,,,,,,
23,Zonacort,,,,,,,,,,,,,,,,,,,
24,Gammaplex,,,,,,,,,,,,,,,,,,,
25,Octagam,,,,,,,,,,,,,,,,,,,
26,Flebogamma,,,,,,,,,,,,,,,,,,,
27,Gamimune,,,,,,,,,,,,,,,,,,,
28,Gamimune N 5%,,,,,,,,,,,,,,,,,,,
29,Gammagard S / D,,,,,,,,,,,,,,,,,,,
30,Gammar-P I.V.,,,,,,,,,,,,,,,,,,,
31,Gamunex,,,,,,,,,,,,,,,,,,,
32,Iveegam En,,,,,,,,,,,,,,,,,,,
33,Panglobulin NF,,,,,,,,,,,,,,,,,,,
34,Polygam S / D,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
