,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Opcon-A,,,,,,,,,,,,,,,,,,,
1,Naphcon-A,,,,,,,,,,,,,,,,,,,
2,Eye Allergy Relief,,,,,,,,,,,,,,,,,,,
3,fluorometholone,,,,,,,,,,,,,,,,,,,
4,Visine-A,,,,,,,,,,,,,,,,,,,
5,Flarex,,,,,,,,,,,,,,,,,,,
6,naphazoline / pheniramine,,,,,,,,,,,,,,,,,,,
7,FML,,,,,,,,,,,,,,,,,,,
8,Visine A.C.,,,,,,,,,,,,,,,,,,,
9,Zymine,,,,,,,,,,,,,,,,,,,
10,FML Forte Liquifilm,,,,,,,,,,,,,,,,,,,
11,Visine Totality Multi-Symptom Relief,,,,,,,,,,,,,,,,,,,
12,tetrahydrozoline / zinc sulfate,,,,,,,,,,,,,,,,,,,
13,triprolidine,,,,,,,,,,,,,,,,,,,
14,FML Liquifilm,,,,,,,,,,,,,,,,,,,
15,FML S.O.P.,,,,,,,,,,,,,,,,,,,
16,Fluor-Op,,,,,,,,,,,,,,,,,,,
17,naphazoline / zinc sulfate,,,,,,,,,,,,,,,,,,,
18,Clear Eyes Seasonal Relief,,,,,,,,,,,,,,,,,,,
19,Tripohist,,,,,,,,,,,,,,,,,,,
20,Vanahist PD,,,,,,,,,,,,,,,,,,,
21,Histex PD Drops,,,,,,,,,,,,,,,,,,,
22,Histex Syrup,,,,,,,,,,,,,,,,,,,
23,Zymine XR,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
