,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,metformin,,,,,,,,,,,,,,,,,,,
1,Clomid,,,,,,,,,,,,,,,,,,,
2,Femara,,,,,,,,,,,,,,,,,,,
3,clomiphene,,,,,,,,,,,,,,,,,,,
4,letrozole,,,,,,,,,,,,,,,,,,,
5,Ovidrel,,,,,,,,,,,,,,,,,,,
6,Menopur,,,,,,,,,,,,,,,,,,,
7,Pregnyl,,,,,,,,,,,,,,,,,,,
8,HCG,,,,,,,,,,,,,,,,,,,
9,chorionic gonadotropin (hcg),,,,,,,,,,,,,,,,,,,
10,Novarel,,,,,,,,,,,,,,,,,,,
11,leuprolide,,,,,,,,,,,,,,,,,,,
12,Serophene,,,,,,,,,,,,,,,,,,,
13,Bravelle,,,,,,,,,,,,,,,,,,,
14,Fertinex,,,,,,,,,,,,,,,,,,,
15,menotropins,,,,,,,,,,,,,,,,,,,
16,Profasi,,,,,,,,,,,,,,,,,,,
17,Repronex,,,,,,,,,,,,,,,,,,,
18,Chorex,,,,,,,,,,,,,,,,,,,
19,Profasi HP,,,,,,,,,,,,,,,,,,,
20,urofollitropin,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
