,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ranitidine,,,,,,,,,,,,,,,,,,,
1,Zantac,,,,,,,,,,,,,,,,,,,
2,Zantac 150,,,,,,,,,,,,,,,,,,,
3,Zantac 300,,,,,,,,,,,,,,,,,,,
4,Deprizine,,,,,,,,,,,,,,,,,,,
5,Careone Acid Reducer,,,,,,,,,,,,,,,,,,,
6,Taladine,,,,,,,,,,,,,,,,,,,
7,Zantac 75,,,,,,,,,,,,,,,,,,,
8,Berkley and Jensen Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
9,Equaline Heartburn Relief,,,,,,,,,,,,,,,,,,,
10,Zantac 25 mg EFFERdose,,,,,,,,,,,,,,,,,,,
11,Zantac 150 EFFERdose,,,,,,,,,,,,,,,,,,,
12,Sunmark Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
13,Zantac EFFERdose,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
