,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,omeprazole,,,,,,,,,,,,,,,,,,,
1,Nexium,,,,,,,,,,,,,,,,,,,
2,Protonix,,,,,,,,,,,,,,,,,,,
3,Aciphex,,,,,,,,,,,,,,,,,,,
4,pantoprazole,,,,,,,,,,,,,,,,,,,
5,Dexilant,,,,,,,,,,,,,,,,,,,
6,Prilosec,,,,,,,,,,,,,,,,,,,
7,ranitidine,,,,,,,,,,,,,,,,,,,
8,Prilosec OTC,,,,,,,,,,,,,,,,,,,
9,Prevacid,,,,,,,,,,,,,,,,,,,
10,Zantac,,,,,,,,,,,,,,,,,,,
11,Zantac 150,,,,,,,,,,,,,,,,,,,
12,lansoprazole,,,,,,,,,,,,,,,,,,,
13,Pepcid,,,,,,,,,,,,,,,,,,,
14,famotidine,,,,,,,,,,,,,,,,,,,
15,Tagamet,,,,,,,,,,,,,,,,,,,
16,esomeprazole,,,,,,,,,,,,,,,,,,,
17,rabeprazole,,,,,,,,,,,,,,,,,,,
18,Mylanta,,,,,,,,,,,,,,,,,,,
19,Zantac 300,,,,,,,,,,,,,,,,,,,
20,Zegerid,,,,,,,,,,,,,,,,,,,
21,omeprazole / sodium bicarbonate,,,,,,,,,,,,,,,,,,,
22,Pepcid AC,,,,,,,,,,,,,,,,,,,
23,Protonix IV,,,,,,,,,,,,,,,,,,,
24,Zantac 75,,,,,,,,,,,,,,,,,,,
25,Carafate,,,,,,,,,,,,,,,,,,,
26,Deprizine,,,,,,,,,,,,,,,,,,,
27,dexlansoprazole,,,,,,,,,,,,,,,,,,,
28,nizatidine,,,,,,,,,,,,,,,,,,,
29,sucralfate,,,,,,,,,,,,,,,,,,,
30,Acid Reducer Non-Prescription Strength,,,,,,,,,,,,,,,,,,,
31,aluminum hydroxide / magnesium hydroxide / simethicone,,,,,,,,,,,,,,,,,,,
32,cimetidine,,,,,,,,,,,,,,,,,,,
33,Heartburn Relief,,,,,,,,,,,,,,,,,,,
34,Kapidex,,,,,,,,,,,,,,,,,,,
35,metoclopramide,,,,,,,,,,,,,,,,,,,
36,Nexium 24HR,,,,,,,,,,,,,,,,,,,
37,Prevacid SoluTab,,,,,,,,,,,,,,,,,,,
38,Acid Controller Maximum Strength,,,,,,,,,,,,,,,,,,,
39,Acid Controller Original Strength,,,,,,,,,,,,,,,,,,,
40,Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
41,Acid Reducer Original Strength,,,,,,,,,,,,,,,,,,,
42,Acid Relief,,,,,,,,,,,,,,,,,,,
43,Berkley and Jensen Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
44,Careone Acid Reducer,,,,,,,,,,,,,,,,,,,
45,Equaline Heartburn Relief,,,,,,,,,,,,,,,,,,,
46,Heartburn Relief Maximum Strength,,,,,,,,,,,,,,,,,,,
47,Pepcid AC Chewable Tablets,,,,,,,,,,,,,,,,,,,
48,Pepcid AC Maximum Strength,,,,,,,,,,,,,,,,,,,
49,Pepcid AC Maximum Strength Tablets,,,,,,,,,,,,,,,,,,,
50,Pepcid Oral Suspension,,,,,,,,,,,,,,,,,,,
51,Reglan,,,,,,,,,,,,,,,,,,,
52,Sunmark Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
53,Taladine,,,,,,,,,,,,,,,,,,,
54,Zantac 25 mg EFFERdose,,,,,,,,,,,,,,,,,,,
55,Zantac 150 EFFERdose,,,,,,,,,,,,,,,,,,,
56,Zantac EFFERdose,,,,,,,,,,,,,,,,,,,
57,Zantac Injection,,,,,,,,,,,,,,,,,,,
58,calcium carbonate,,,,,,,,,,,,,,,,,,,
59,magnesium oxide,,,,,,,,,,,,,,,,,,,
60,Metozolv ODT,,,,,,,,,,,,,,,,,,,
61,Prevacid OTC,,,,,,,,,,,,,,,,,,,
62,Zegerid OTC,,,,,,,,,,,,,,,,,,,
63,Alcalak,,,,,,,,,,,,,,,,,,,
64,Ami-Lac,,,,,,,,,,,,,,,,,,,
65,bethanechol,,,,,,,,,,,,,,,,,,,
66,Cal-Gest,,,,,,,,,,,,,,,,,,,
67,Calcium Oyster Shell,,,,,,,,,,,,,,,,,,,
68,Gelusil,,,,,,,,,,,,,,,,,,,
