,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,alvimopan,,,,,,,,,,,,,,,,,,,
1,Entereg,,,,,,,,,,,,,,,,,,,
2,Glydo,,,,,,,,,,,,,,,,,,,
3,Laryng-O-Jet Spray,,,,,,,,,,,,,,,,,,,
4,lidocaine,,,,,,,,,,,,,,,,,,,
5,Lidocaine Viscous,,,,,,,,,,,,,,,,,,,
6,Lidozol,,,,,,,,,,,,,,,,,,,
7,LTA II Kit,,,,,,,,,,,,,,,,,,,
8,Xylocaine Jelly,,,,,,,,,,,,,,,,,,,
9,Xylocaine Viscous,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
