,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,VPRIV,,,,,,,,,,,,,,,,,,,
1,Cerezyme,,,,,,,,,,,,,,,,,,,
2,Zavesca,,,,,,,,,,,,,,,,,,,
3,Elelyso,,,,,,,,,,,,,,,,,,,
4,Cerdelga,,,,,,,,,,,,,,,,,,,
5,miglustat,,,,,,,,,,,,,,,,,,,
6,imiglucerase,,,,,,,,,,,,,,,,,,,
7,velaglucerase alfa,,,,,,,,,,,,,,,,,,,
8,eliglustat,,,,,,,,,,,,,,,,,,,
9,taliglucerase alfa,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
