,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Humulin N,,,,,,,,,,,,,,,,,,,
1,Humulin 70 / 30,,,,,,,,,,,,,,,,,,,
2,Humulin N Pen,,,,,,,,,,,,,,,,,,,
3,Humulin 50 / 50,,,,,,,,,,,,,,,,,,,
4,Novolin N,,,,,,,,,,,,,,,,,,,
5,Humulin R,,,,,,,,,,,,,,,,,,,
6,insulin isophane,,,,,,,,,,,,,,,,,,,
7,Novolin 70 / 30,,,,,,,,,,,,,,,,,,,
8,Novolin R,,,,,,,,,,,,,,,,,,,
9,Relion Novolin N,,,,,,,,,,,,,,,,,,,
10,insulin isophane / insulin regular,,,,,,,,,,,,,,,,,,,
11,insulin regular,,,,,,,,,,,,,,,,,,,
12,Humulin 70 / 30 Pen,,,,,,,,,,,,,,,,,,,
13,ReliOn / Novolin 70 / 30,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
