,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,metronidazole,,,,,,,,,,,,,,,,,,,
1,Flagyl,,,,,,,,,,,,,,,,,,,
2,tinidazole,,,,,,,,,,,,,,,,,,,
3,Tindamax,,,,,,,,,,,,,,,,,,,
4,albendazole,,,,,,,,,,,,,,,,,,,
5,nitazoxanide,,,,,,,,,,,,,,,,,,,
6,Flagyl 375,,,,,,,,,,,,,,,,,,,
7,Albenza,,,,,,,,,,,,,,,,,,,
8,Alinia,,,,,,,,,,,,,,,,,,,
9,Flagyl IV,,,,,,,,,,,,,,,,,,,
10,Metro,,,,,,,,,,,,,,,,,,,
11,Paromycin,,,,,,,,,,,,,,,,,,,
12,Humatin,,,,,,,,,,,,,,,,,,,
13,paromomycin,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
