,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Xalatan,,,,,,,,,,,,,,,,,,,
1,latanoprost,,,,,,,,,,,,,,,,,,,
2,Lumigan,,,,,,,,,,,,,,,,,,,
3,timolol,,,,,,,,,,,,,,,,,,,
4,Travatan Z,,,,,,,,,,,,,,,,,,,
5,Alphagan P,,,,,,,,,,,,,,,,,,,
6,Cosopt,,,,,,,,,,,,,,,,,,,
7,brimonidine,,,,,,,,,,,,,,,,,,,
8,Azopt,,,,,,,,,,,,,,,,,,,
9,Timoptic,,,,,,,,,,,,,,,,,,,
10,dorzolamide / timolol,,,,,,,,,,,,,,,,,,,
11,dorzolamide,,,,,,,,,,,,,,,,,,,
12,Zioptan,,,,,,,,,,,,,,,,,,,
13,Simbrinza,,,,,,,,,,,,,,,,,,,
14,Trusopt,,,,,,,,,,,,,,,,,,,
15,Istalol,,,,,,,,,,,,,,,,,,,
16,Betimol,,,,,,,,,,,,,,,,,,,
17,travoprost,,,,,,,,,,,,,,,,,,,
18,bimatoprost,,,,,,,,,,,,,,,,,,,
19,Timoptic-XE,,,,,,,,,,,,,,,,,,,
20,Betagan,,,,,,,,,,,,,,,,,,,
21,tafluprost,,,,,,,,,,,,,,,,,,,
22,Betoptic,,,,,,,,,,,,,,,,,,,
23,brinzolamide,,,,,,,,,,,,,,,,,,,
24,Timoptic Ocudose,,,,,,,,,,,,,,,,,,,
25,Betoptic S,,,,,,,,,,,,,,,,,,,
26,brimonidine / brinzolamide,,,,,,,,,,,,,,,,,,,
27,Cosopt PF,,,,,,,,,,,,,,,,,,,
28,levobunolol,,,,,,,,,,,,,,,,,,,
29,betaxolol,,,,,,,,,,,,,,,,,,,
30,Ocupress,,,,,,,,,,,,,,,,,,,
31,carteolol,,,,,,,,,,,,,,,,,,,
32,Isopto Carpine,,,,,,,,,,,,,,,,,,,
33,Ocu-Carpine,,,,,,,,,,,,,,,,,,,
34,Pilocar,,,,,,,,,,,,,,,,,,,
35,pilocarpine,,,,,,,,,,,,,,,,,,,
36,Pilopine HS,,,,,,,,,,,,,,,,,,,
37,Pilostat,,,,,,,,,,,,,,,,,,,
38,AK-Beta,,,,,,,,,,,,,,,,,,,
39,Izba,,,,,,,,,,,,,,,,,,,
40,metipranolol,,,,,,,,,,,,,,,,,,,
41,OptiPranolol,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
