,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Combigan,,,,,,,,,,,,,,,,,,,
1,Diamox,,,,,,,,,,,,,,,,,,,
2,acetazolamide,,,,,,,,,,,,,,,,,,,
3,brimonidine / timolol,,,,,,,,,,,,,,,,,,,
4,pilocarpine,,,,,,,,,,,,,,,,,,,
5,Corgard,,,,,,,,,,,,,,,,,,,
6,Iopidine,,,,,,,,,,,,,,,,,,,
7,methazolamide,,,,,,,,,,,,,,,,,,,
8,Neptazane,,,,,,,,,,,,,,,,,,,
9,Pilocar,,,,,,,,,,,,,,,,,,,
10,Diamox Sequels,,,,,,,,,,,,,,,,,,,
11,Isopto Carpine,,,,,,,,,,,,,,,,,,,
12,nadolol,,,,,,,,,,,,,,,,,,,
13,Carboptic,,,,,,,,,,,,,,,,,,,
14,Pilopine HS,,,,,,,,,,,,,,,,,,,
15,carbachol,,,,,,,,,,,,,,,,,,,
16,Miostat,,,,,,,,,,,,,,,,,,,
17,Mitosol,,,,,,,,,,,,,,,,,,,
18,Pilostat,,,,,,,,,,,,,,,,,,,
19,mitomycin,,,,,,,,,,,,,,,,,,,
20,Ocu-Carpine,,,,,,,,,,,,,,,,,,,
21,apraclonidine,,,,,,,,,,,,,,,,,,,
22,Isopto Carbachol,,,,,,,,,,,,,,,,,,,
23,Phospholine Iodide,,,,,,,,,,,,,,,,,,,
24,echothiophate iodide,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
