,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,allopurinol,,,,,,,,,,,,,,,,,,,
1,Uloric,,,,,,,,,,,,,,,,,,,
2,Zyloprim,,,,,,,,,,,,,,,,,,,
3,Aloprim,,,,,,,,,,,,,,,,,,,
4,Krystexxa,,,,,,,,,,,,,,,,,,,
5,Benemid,,,,,,,,,,,,,,,,,,,
6,febuxostat,,,,,,,,,,,,,,,,,,,
7,probenecid,,,,,,,,,,,,,,,,,,,
8,pegloticase,,,,,,,,,,,,,,,,,,,
9,rilonacept,,,,,,,,,,,,,,,,,,,
10,lesinurad,,,,,,,,,,,,,,,,,,,
11,Zurampic,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
