,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Evithrom,,,,,,,,,,,,,,,,,,,
1,Thrombin-JMI,,,,,,,,,,,,,,,,,,,
2,thrombin,,,,,,,,,,,,,,,,,,,
3,Tisseel,,,,,,,,,,,,,,,,,,,
4,Recothrom,,,,,,,,,,,,,,,,,,,
5,Thrombostat,,,,,,,,,,,,,,,,,,,
6,Artiss,,,,,,,,,,,,,,,,,,,
7,Thrombinar,,,,,,,,,,,,,,,,,,,
8,fibrin sealant,,,,,,,,,,,,,,,,,,,
9,Raplixa,,,,,,,,,,,,,,,,,,,
10,fibrinogen / thrombin,,,,,,,,,,,,,,,,,,,
11,Evarrest,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
