,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,lactulose,,,,,,,,,,,,,,,,,,,
1,Xifaxan,,,,,,,,,,,,,,,,,,,
2,rifaximin,,,,,,,,,,,,,,,,,,,
3,Generlac,,,,,,,,,,,,,,,,,,,
4,Enulose,,,,,,,,,,,,,,,,,,,
5,neomycin,,,,,,,,,,,,,,,,,,,
6,Kristalose,,,,,,,,,,,,,,,,,,,
7,Constulose,,,,,,,,,,,,,,,,,,,
8,Neo-Fradin,,,,,,,,,,,,,,,,,,,
9,Neo-Tab,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
