,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Valtrex,,,,,,,,,,,,,,,,,,,
1,valacyclovir,,,,,,,,,,,,,,,,,,,
2,acyclovir,,,,,,,,,,,,,,,,,,,
3,Denavir,,,,,,,,,,,,,,,,,,,
4,Zovirax Cream,,,,,,,,,,,,,,,,,,,
5,Zovirax Ointment,,,,,,,,,,,,,,,,,,,
6,Famvir,,,,,,,,,,,,,,,,,,,
7,famciclovir,,,,,,,,,,,,,,,,,,,
8,Sitavig,,,,,,,,,,,,,,,,,,,
9,Zovirax,,,,,,,,,,,,,,,,,,,
10,benzocaine,,,,,,,,,,,,,,,,,,,
11,Retre-Gel,,,,,,,,,,,,,,,,,,,
12,Xerese,,,,,,,,,,,,,,,,,,,
13,acyclovir / hydrocortisone,,,,,,,,,,,,,,,,,,,
14,penciclovir,,,,,,,,,,,,,,,,,,,
15,Kank-a,,,,,,,,,,,,,,,,,,,
16,Orabase,,,,,,,,,,,,,,,,,,,
17,Pontocaine,,,,,,,,,,,,,,,,,,,
18,tetracaine,,,,,,,,,,,,,,,,,,,
19,benzalkonium chloride / benzocaine,,,,,,,,,,,,,,,,,,,
20,benzyl alcohol,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
