,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,lisinopril,,,,,,,,,,,,,,,,,,,
1,amlodipine,,,,,,,,,,,,,,,,,,,
2,Benicar,,,,,,,,,,,,,,,,,,,
3,Norvasc,,,,,,,,,,,,,,,,,,,
4,losartan,,,,,,,,,,,,,,,,,,,
5,Metoprolol Succinate ER,,,,,,,,,,,,,,,,,,,
6,metoprolol,,,,,,,,,,,,,,,,,,,
7,hydrochlorothiazide,,,,,,,,,,,,,,,,,,,
8,Avapro,,,,,,,,,,,,,,,,,,,
9,Cozaar,,,,,,,,,,,,,,,,,,,
10,Diovan,,,,,,,,,,,,,,,,,,,
11,atenolol,,,,,,,,,,,,,,,,,,,
12,Bystolic,,,,,,,,,,,,,,,,,,,
13,Lopressor,,,,,,,,,,,,,,,,,,,
14,Metoprolol Tartrate,,,,,,,,,,,,,,,,,,,
15,Lasix,,,,,,,,,,,,,,,,,,,
16,Vasotec,,,,,,,,,,,,,,,,,,,
17,Maxzide,,,,,,,,,,,,,,,,,,,
18,Prinivil,,,,,,,,,,,,,,,,,,,
19,Toprol-XL,,,,,,,,,,,,,,,,,,,
20,Zestril,,,,,,,,,,,,,,,,,,,
21,furosemide,,,,,,,,,,,,,,,,,,,
22,carvedilol,,,,,,,,,,,,,,,,,,,
23,Diovan HCT,,,,,,,,,,,,,,,,,,,
24,hydrochlorothiazide / lisinopril,,,,,,,,,,,,,,,,,,,
25,Tenormin,,,,,,,,,,,,,,,,,,,
26,clonidine,,,,,,,,,,,,,,,,,,,
27,enalapril,,,,,,,,,,,,,,,,,,,
28,hydrochlorothiazide / triamterene,,,,,,,,,,,,,,,,,,,
29,Benicar HCT,,,,,,,,,,,,,,,,,,,
30,Exforge,,,,,,,,,,,,,,,,,,,
31,Dyazide,,,,,,,,,,,,,,,,,,,
32,valsartan,,,,,,,,,,,,,,,,,,,
33,irbesartan,,,,,,,,,,,,,,,,,,,
34,olmesartan,,,,,,,,,,,,,,,,,,,
35,ramipril,,,,,,,,,,,,,,,,,,,
36,Coreg,,,,,,,,,,,,,,,,,,,
37,hydralazine,,,,,,,,,,,,,,,,,,,
38,spironolactone,,,,,,,,,,,,,,,,,,,
39,amlodipine / valsartan,,,,,,,,,,,,,,,,,,,
40,diltiazem,,,,,,,,,,,,,,,,,,,
41,hydrochlorothiazide / losartan,,,,,,,,,,,,,,,,,,,
42,nifedipine,,,,,,,,,,,,,,,,,,,
43,propranolol,,,,,,,,,,,,,,,,,,,
44,verapamil,,,,,,,,,,,,,,,,,,,
45,benazepril,,,,,,,,,,,,,,,,,,,
46,hydrochlorothiazide / valsartan,,,,,,,,,,,,,,,,,,,
47,Qbrelis,,,,,,,,,,,,,,,,,,,
48,Zestoretic,,,,,,,,,,,,,,,,,,,
49,amlodipine / benazepril,,,,,,,,,,,,,,,,,,,
50,amlodipine / hydrochlorothiazide / valsartan,,,,,,,,,,,,,,,,,,,
51,Aquazide H,,,,,,,,,,,,,,,,,,,
52,bisoprolol,,,,,,,,,,,,,,,,,,,
53,Catapres,,,,,,,,,,,,,,,,,,,
54,chlorthalidone,,,,,,,,,,,,,,,,,,,
55,Coreg CR,,,,,,,,,,,,,,,,,,,
56,doxazosin,,,,,,,,,,,,,,,,,,,
57,hydrochlorothiazide / olmesartan,,,,,,,,,,,,,,,,,,,
58,Hyzaar,,,,,,,,,,,,,,,,,,,
59,labetalol,,,,,,,,,,,,,,,,,,,
60,nebivolol,,,,,,,,,,,,,,,,,,,
61,Aldactone,,,,,,,,,,,,,,,,,,,
62,Altace,,,,,,,,,,,,,,,,,,,
63,atenolol / chlorthalidone,,,,,,,,,,,,,,,,,,,
64,Azor,,,,,,,,,,,,,,,,,,,
65,captopril,,,,,,,,,,,,,,,,,,,
66,Cardizem,,,,,,,,,,,,,,,,,,,
67,Cardizem CD,,,,,,,,,,,,,,,,,,,
68,Cartia XT,,,,,,,,,,,,,,,,,,,
69,Catapres-TTS,,,,,,,,,,,,,,,,,,,
70,Diltia XT,,,,,,,,,,,,,,,,,,,
71,Esidrix,,,,,,,,,,,,,,,,,,,
72,Inderal,,,,,,,,,,,,,,,,,,,
73,Lotrel,,,,,,,,,,,,,,,,,,,
74,Micardis,,,,,,,,,,,,,,,,,,,
75,Micardis HCT,,,,,,,,,,,,,,,,,,,
76,Microzide,,,,,,,,,,,,,,,,,,,
77,Nifedical XL,,,,,,,,,,,,,,,,,,,
78,Procardia XL,,,,,,,,,,,,,,,,,,,
79,quinapril,,,,,,,,,,,,,,,,,,,
80,terazosin,,,,,,,,,,,,,,,,,,,
81,Tiazac,,,,,,,,,,,,,,,,,,,
82,Accupril,,,,,,,,,,,,,,,,,,,
83,Adalat CC,,,,,,,,,,,,,,,,,,,
84,Afeditab CR,,,,,,,,,,,,,,,,,,,
85,amlodipine / atorvastatin,,,,,,,,,,,,,,,,,,,
86,amlodipine / olmesartan,,,,,,,,,,,,,,,,,,,
87,Apresoline,,,,,,,,,,,,,,,,,,,
88,Atacand,,,,,,,,,,,,,,,,,,,
89,Avalide,,,,,,,,,,,,,,,,,,,
90,benazepril / hydrochlorothiazide,,,,,,,,,,,,,,,,,,,
91,bendroflumethiazide / nadolol,,,,,,,,,,,,,,,,,,,
92,Caduet,,,,,,,,,,,,,,,,,,,
93,Calan,,,,,,,,,,,,,,,,,,,
94,candesartan,,,,,,,,,,,,,,,,,,,
95,Cardizem LA,,,,,,,,,,,,,,,,,,,
96,Cardura,,,,,,,,,,,,,,,,,,,
97,Dilacor XR,,,,,,,,,,,,,,,,,,,
98,Dilt-XR,,,,,,,,,,,,,,,,,,,
99,Diltzac,,,,,,,,,,,,,,,,,,,
100,felodipine,,,,,,,,,,,,,,,,,,,
101,hydrochlorothiazide / irbesartan,,,,,,,,,,,,,,,,,,,
102,hydrochlorothiazide / telmisartan,,,,,,,,,,,,,,,,,,,
103,indapamide,,,,,,,,,,,,,,,,,,,
104,Inderal LA,,,,,,,,,,,,,,,,,,,
105,InnoPran XL,,,,,,,,,,,,,,,,,,,
106,Lotensin,,,,,,,,,,,,,,,,,,,
107,Matzim LA,,,,,,,,,,,,,,,,,,,
108,Nexiclon XR,,,,,,,,,,,,,,,,,,,
109,Nifediac CC,,,,,,,,,,,,,,,,,,,
110,perindopril,,,,,,,,,,,,,,,,,,,
111,prazosin,,,,,,,,,,,,,,,,,,,
