,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,fenofibrate,,,,,,,,,,,,,,,,,,,
1,Fish Oil,,,,,,,,,,,,,,,,,,,
2,Lovaza,,,,,,,,,,,,,,,,,,,
3,TriCor,,,,,,,,,,,,,,,,,,,
4,Vascepa,,,,,,,,,,,,,,,,,,,
5,omega-3 polyunsaturated fatty acids,,,,,,,,,,,,,,,,,,,
6,Lipofen,,,,,,,,,,,,,,,,,,,
7,Trilipix,,,,,,,,,,,,,,,,,,,
8,Antara,,,,,,,,,,,,,,,,,,,
9,Fenoglide,,,,,,,,,,,,,,,,,,,
10,Omacor,,,,,,,,,,,,,,,,,,,
11,icosapent,,,,,,,,,,,,,,,,,,,
12,Lofibra,,,,,,,,,,,,,,,,,,,
13,Triglide,,,,,,,,,,,,,,,,,,,
14,fenofibric acid,,,,,,,,,,,,,,,,,,,
15,Fibricor,,,,,,,,,,,,,,,,,,,
16,MegaKrill,,,,,,,,,,,,,,,,,,,
17,Animi-3 with Vitamin D,,,,,,,,,,,,,,,,,,,
18,MaxEPA,,,,,,,,,,,,,,,,,,,
19,Nature's Bounty Red Krill Oil,,,,,,,,,,,,,,,,,,,
20,Animi-3,,,,,,,,,,,,,,,,,,,
21,Divista,,,,,,,,,,,,,,,,,,,
22,Omtryg,,,,,,,,,,,,,,,,,,,
23,Vascazen,,,,,,,,,,,,,,,,,,,
24,Epanova,,,,,,,,,,,,,,,,,,,
25,Mi-Omega NF,,,,,,,,,,,,,,,,,,,
26,Prenatal DHA,,,,,,,,,,,,,,,,,,,
27,Vayarin,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
