,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,spironolactone,,,,,,,,,,,,,,,,,,,
1,Aldactone,,,,,,,,,,,,,,,,,,,
2,Vaniqa,,,,,,,,,,,,,,,,,,,
3,Lupron,,,,,,,,,,,,,,,,,,,
4,Eulexin,,,,,,,,,,,,,,,,,,,
5,Viadur,,,,,,,,,,,,,,,,,,,
6,eflornithine,,,,,,,,,,,,,,,,,,,
7,flutamide,,,,,,,,,,,,,,,,,,,
8,Lupron Depot,,,,,,,,,,,,,,,,,,,
9,leuprolide,,,,,,,,,,,,,,,,,,,
10,Lupron Depot 3.75 mg,,,,,,,,,,,,,,,,,,,
11,Lupron Depot 11.25 mg,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
