,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lipitor,,,,,,,,,,,,,,,,,,,
1,atorvastatin,,,,,,,,,,,,,,,,,,,
2,Crestor,,,,,,,,,,,,,,,,,,,
3,simvastatin,,,,,,,,,,,,,,,,,,,
4,Zetia,,,,,,,,,,,,,,,,,,,
5,pravastatin,,,,,,,,,,,,,,,,,,,
6,Pravachol,,,,,,,,,,,,,,,,,,,
7,Zocor,,,,,,,,,,,,,,,,,,,
8,Vytorin,,,,,,,,,,,,,,,,,,,
9,lovastatin,,,,,,,,,,,,,,,,,,,
10,ezetimibe,,,,,,,,,,,,,,,,,,,
11,rosuvastatin,,,,,,,,,,,,,,,,,,,
12,Mevacor,,,,,,,,,,,,,,,,,,,
13,ezetimibe / simvastatin,,,,,,,,,,,,,,,,,,,
14,Altoprev,,,,,,,,,,,,,,,,,,,
15,Praluent,,,,,,,,,,,,,,,,,,,
16,Repatha,,,,,,,,,,,,,,,,,,,
17,Altocor,,,,,,,,,,,,,,,,,,,
18,fluvastatin,,,,,,,,,,,,,,,,,,,
19,Lescol,,,,,,,,,,,,,,,,,,,
20,Lescol XL,,,,,,,,,,,,,,,,,,,
21,evolocumab,,,,,,,,,,,,,,,,,,,
22,alirocumab,,,,,,,,,,,,,,,,,,,
23,Repatha Pushtronex,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
