,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Hypercare,,,,,,,,,,,,,,,,,,,
1,Drysol,,,,,,,,,,,,,,,,,,,
2,oxybutynin,,,,,,,,,,,,,,,,,,,
3,Hytrin,,,,,,,,,,,,,,,,,,,
4,clonidine,,,,,,,,,,,,,,,,,,,
5,terazosin,,,,,,,,,,,,,,,,,,,
6,benztropine,,,,,,,,,,,,,,,,,,,
7,Certain Dri,,,,,,,,,,,,,,,,,,,
8,aluminum chloride hexahydrate,,,,,,,,,,,,,,,,,,,
9,gabapentin,,,,,,,,,,,,,,,,,,,
10,Xerac AC,,,,,,,,,,,,,,,,,,,
11,Botox,,,,,,,,,,,,,,,,,,,
12,amitriptyline,,,,,,,,,,,,,,,,,,,
13,Myobloc,,,,,,,,,,,,,,,,,,,
14,onabotulinumtoxinA,,,,,,,,,,,,,,,,,,,
15,botulinum toxin type b,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
