,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,fenofibrate,,,,,,,,,,,,,,,,,,,
1,TriCor,,,,,,,,,,,,,,,,,,,
2,gemfibrozil,,,,,,,,,,,,,,,,,,,
3,Lipitor,,,,,,,,,,,,,,,,,,,
4,Crestor,,,,,,,,,,,,,,,,,,,
5,atorvastatin,,,,,,,,,,,,,,,,,,,
6,simvastatin,,,,,,,,,,,,,,,,,,,
7,Pravachol,,,,,,,,,,,,,,,,,,,
8,Lopid,,,,,,,,,,,,,,,,,,,
9,Zocor,,,,,,,,,,,,,,,,,,,
10,pravastatin,,,,,,,,,,,,,,,,,,,
11,rosuvastatin,,,,,,,,,,,,,,,,,,,
12,Antara,,,,,,,,,,,,,,,,,,,
13,lovastatin,,,,,,,,,,,,,,,,,,,
14,Lipofen,,,,,,,,,,,,,,,,,,,
15,Lofibra,,,,,,,,,,,,,,,,,,,
16,colestipol,,,,,,,,,,,,,,,,,,,
17,Colestid,,,,,,,,,,,,,,,,,,,
18,Cholestyramine Light,,,,,,,,,,,,,,,,,,,
19,cholestyramine,,,,,,,,,,,,,,,,,,,
20,fluvastatin,,,,,,,,,,,,,,,,,,,
21,Prevalite,,,,,,,,,,,,,,,,,,,
22,Questran,,,,,,,,,,,,,,,,,,,
23,Triglide,,,,,,,,,,,,,,,,,,,
24,Lescol,,,,,,,,,,,,,,,,,,,
25,Mevacor,,,,,,,,,,,,,,,,,,,
26,Altocor,,,,,,,,,,,,,,,,,,,
27,Altoprev,,,,,,,,,,,,,,,,,,,
28,Lescol XL,,,,,,,,,,,,,,,,,,,
29,Fenoglide,,,,,,,,,,,,,,,,,,,
30,Questran Light,,,,,,,,,,,,,,,,,,,
31,Colestid Flavored,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
