,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Niaspan,,,,,,,,,,,,,,,,,,,
1,Lipitor,,,,,,,,,,,,,,,,,,,
2,niacin,,,,,,,,,,,,,,,,,,,
3,fenofibrate,,,,,,,,,,,,,,,,,,,
4,TriCor,,,,,,,,,,,,,,,,,,,
5,atorvastatin,,,,,,,,,,,,,,,,,,,
6,Crestor,,,,,,,,,,,,,,,,,,,
7,Zocor,,,,,,,,,,,,,,,,,,,
8,Lopid,,,,,,,,,,,,,,,,,,,
9,gemfibrozil,,,,,,,,,,,,,,,,,,,
10,rosuvastatin,,,,,,,,,,,,,,,,,,,
11,simvastatin,,,,,,,,,,,,,,,,,,,
12,Niacor,,,,,,,,,,,,,,,,,,,
13,Pravachol,,,,,,,,,,,,,,,,,,,
14,pravastatin,,,,,,,,,,,,,,,,,,,
15,Slo-Niacin,,,,,,,,,,,,,,,,,,,
16,Niacin SR,,,,,,,,,,,,,,,,,,,
17,Lofibra,,,,,,,,,,,,,,,,,,,
18,Triglide,,,,,,,,,,,,,,,,,,,
19,Antara,,,,,,,,,,,,,,,,,,,
20,Lipofen,,,,,,,,,,,,,,,,,,,
21,B-3-50,,,,,,,,,,,,,,,,,,,
22,Fenoglide,,,,,,,,,,,,,,,,,,,
23,Nicotinex,,,,,,,,,,,,,,,,,,,
24,B3-500-Gr,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
