,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Phospha 250 Neutral,,,,,,,,,,,,,,,,,,,
1,potassium phosphate / sodium phosphate,,,,,,,,,,,,,,,,,,,
2,K-Phos Neutral,,,,,,,,,,,,,,,,,,,
3,Neutra-Phos-K,,,,,,,,,,,,,,,,,,,
4,PHOS-NaK,,,,,,,,,,,,,,,,,,,
5,Drisdol,,,,,,,,,,,,,,,,,,,
6,Vitamin D2,,,,,,,,,,,,,,,,,,,
7,Calciferol,,,,,,,,,,,,,,,,,,,
8,ergocalciferol,,,,,,,,,,,,,,,,,,,
9,potassium phosphate,,,,,,,,,,,,,,,,,,,
10,Calcidol,,,,,,,,,,,,,,,,,,,
11,K-Phos M.F.,,,,,,,,,,,,,,,,,,,
12,K-Phos No. 2,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
