,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,Entocort EC,,,,,,,,,,,,,,,,,,,
2,Asacol,,,,,,,,,,,,,,,,,,,
3,budesonide,,,,,,,,,,,,,,,,,,,
4,mesalamine,,,,,,,,,,,,,,,,,,,
5,Lialda,,,,,,,,,,,,,,,,,,,
6,Pentasa,,,,,,,,,,,,,,,,,,,
7,sulfasalazine,,,,,,,,,,,,,,,,,,,
8,Sulfazine,,,,,,,,,,,,,,,,,,,
9,Apriso,,,,,,,,,,,,,,,,,,,
10,Acthar,,,,,,,,,,,,,,,,,,,
11,Remicade,,,,,,,,,,,,,,,,,,,
12,Imuran,,,,,,,,,,,,,,,,,,,
13,Azulfidine,,,,,,,,,,,,,,,,,,,
14,hydrocortisone,,,,,,,,,,,,,,,,,,,
15,Asacol HD,,,,,,,,,,,,,,,,,,,
16,azathioprine,,,,,,,,,,,,,,,,,,,
17,Canasa,,,,,,,,,,,,,,,,,,,
18,mercaptopurine,,,,,,,,,,,,,,,,,,,
19,Decadron,,,,,,,,,,,,,,,,,,,
20,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
21,Cortef,,,,,,,,,,,,,,,,,,,
22,dexamethasone,,,,,,,,,,,,,,,,,,,
23,corticotropin,,,,,,,,,,,,,,,,,,,
24,infliximab,,,,,,,,,,,,,,,,,,,
25,cyclosporine,,,,,,,,,,,,,,,,,,,
26,Salofalk,,,,,,,,,,,,,,,,,,,
27,Gastrocrom,,,,,,,,,,,,,,,,,,,
28,Neoral,,,,,,,,,,,,,,,,,,,
29,Solu-Cortef,,,,,,,,,,,,,,,,,,,
30,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
31,Baycadron,,,,,,,,,,,,,,,,,,,
32,Cortenema,,,,,,,,,,,,,,,,,,,
33,Gengraf,,,,,,,,,,,,,,,,,,,
34,Purinethol,,,,,,,,,,,,,,,,,,,
35,Rowasa,,,,,,,,,,,,,,,,,,,
36,Sandimmune,,,,,,,,,,,,,,,,,,,
37,Zema Pak,,,,,,,,,,,,,,,,,,,
38,A-Hydrocort,,,,,,,,,,,,,,,,,,,
39,Azasan,,,,,,,,,,,,,,,,,,,
40,Colocort,,,,,,,,,,,,,,,,,,,
41,Cortifoam,,,,,,,,,,,,,,,,,,,
42,cromolyn,,,,,,,,,,,,,,,,,,,
43,De-Sone LA,,,,,,,,,,,,,,,,,,,
44,Dexacen-4,,,,,,,,,,,,,,,,,,,
45,Dexasone,,,,,,,,,,,,,,,,,,,
46,Dexasone LA,,,,,,,,,,,,,,,,,,,
47,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
48,Mesasal Enteric Coated,,,,,,,,,,,,,,,,,,,
49,Solurex,,,,,,,,,,,,,,,,,,,
50,Solurex LA,,,,,,,,,,,,,,,,,,,
51,Zonacort,,,,,,,,,,,,,,,,,,,
52,Azulfidine EN-tabs,,,,,,,,,,,,,,,,,,,
53,Canasa Pac,,,,,,,,,,,,,,,,,,,
54,H.P. Acthar Gel,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
