,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Haldol,,,,,,,,,,,,,,,,,,,
1,haloperidol,,,,,,,,,,,,,,,,,,,
2,Ativan,,,,,,,,,,,,,,,,,,,
3,midazolam,,,,,,,,,,,,,,,,,,,
4,lorazepam,,,,,,,,,,,,,,,,,,,
5,Versed,,,,,,,,,,,,,,,,,,,
6,diazepam,,,,,,,,,,,,,,,,,,,
7,Valium,,,,,,,,,,,,,,,,,,,
8,Lorazepam Intensol,,,,,,,,,,,,,,,,,,,
9,Haldol Decanoate,,,,,,,,,,,,,,,,,,,
10,Diazepam Intensol,,,,,,,,,,,,,,,,,,,
11,Diastat,,,,,,,,,,,,,,,,,,,
12,Diastat AcuDial,,,,,,,,,,,,,,,,,,,
13,Diastat Pediatric,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
