,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,Promacta,,,,,,,,,,,,,,,,,,,
2,Nplate,,,,,,,,,,,,,,,,,,,
3,dexamethasone,,,,,,,,,,,,,,,,,,,
4,Neoral,,,,,,,,,,,,,,,,,,,
5,Decadron,,,,,,,,,,,,,,,,,,,
6,cyclosporine,,,,,,,,,,,,,,,,,,,
7,immune globulin intravenous,,,,,,,,,,,,,,,,,,,
8,RhoGAM,,,,,,,,,,,,,,,,,,,
9,romiplostim,,,,,,,,,,,,,,,,,,,
10,WinRho SDF,,,,,,,,,,,,,,,,,,,
11,Privigen,,,,,,,,,,,,,,,,,,,
12,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
13,eltrombopag,,,,,,,,,,,,,,,,,,,
14,Gammagard,,,,,,,,,,,,,,,,,,,
15,azathioprine,,,,,,,,,,,,,,,,,,,
16,rituximab,,,,,,,,,,,,,,,,,,,
17,Gamunex,,,,,,,,,,,,,,,,,,,
18,immune globulin intravenous and subcutaneous,,,,,,,,,,,,,,,,,,,
19,Sandimmune,,,,,,,,,,,,,,,,,,,
20,triamcinolone,,,,,,,,,,,,,,,,,,,
21,Flebogamma,,,,,,,,,,,,,,,,,,,
22,Kenalog-40,,,,,,,,,,,,,,,,,,,
23,Gengraf,,,,,,,,,,,,,,,,,,,
24,Intron A,,,,,,,,,,,,,,,,,,,
25,Octagam,,,,,,,,,,,,,,,,,,,
26,rho (d) immune globulin,,,,,,,,,,,,,,,,,,,
27,Sandoglobulin,,,,,,,,,,,,,,,,,,,
28,Baycadron,,,,,,,,,,,,,,,,,,,
29,Clinacort,,,,,,,,,,,,,,,,,,,
30,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
31,Gammar-P I.V.,,,,,,,,,,,,,,,,,,,
32,Rhophylac,,,,,,,,,,,,,,,,,,,
33,Solurex,,,,,,,,,,,,,,,,,,,
34,Zema Pak,,,,,,,,,,,,,,,,,,,
35,Carimune,,,,,,,,,,,,,,,,,,,
36,cortisone,,,,,,,,,,,,,,,,,,,
37,De-Sone LA,,,,,,,,,,,,,,,,,,,
38,Dexacen-4,,,,,,,,,,,,,,,,,,,
39,Dexasone,,,,,,,,,,,,,,,,,,,
40,Dexasone LA,,,,,,,,,,,,,,,,,,,
41,Gammaplex,,,,,,,,,,,,,,,,,,,
42,interferon alfa-2b,,,,,,,,,,,,,,,,,,,
43,Iveegam En,,,,,,,,,,,,,,,,,,,
44,LoCort,,,,,,,,,,,,,,,,,,,
45,Solurex LA,,,,,,,,,,,,,,,,,,,
46,Zonacort,,,,,,,,,,,,,,,,,,,
47,BayRHo-D,,,,,,,,,,,,,,,,,,,
48,Cortone Acetate,,,,,,,,,,,,,,,,,,,
49,Gamimune,,,,,,,,,,,,,,,,,,,
50,Gamimune N 5%,,,,,,,,,,,,,,,,,,,
51,Gammagard S / D,,,,,,,,,,,,,,,,,,,
52,Gammaked,,,,,,,,,,,,,,,,,,,
53,Gamunex-C,,,,,,,,,,,,,,,,,,,
54,HyperRHO S / D Full Dose,,,,,,,,,,,,,,,,,,,
55,HyperRHO S / D Mini-Dose,,,,,,,,,,,,,,,,,,,
56,MICRhoGAM,,,,,,,,,,,,,,,,,,,
57,MicRhoGAM Ultra-Filtered Plus,,,,,,,,,,,,,,,,,,,
58,Panglobulin NF,,,,,,,,,,,,,,,,,,,
59,Polygam S / D,,,,,,,,,,,,,,,,,,,
60,RhoGAM Ultra-Filtered Plus,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
