,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,metformin,,,,,,,,,,,,,,,,,,,
1,Glucophage,,,,,,,,,,,,,,,,,,,
2,Fortamet,,,,,,,,,,,,,,,,,,,
3,Glucophage XR,,,,,,,,,,,,,,,,,,,
4,Glumetza,,,,,,,,,,,,,,,,,,,
5,Humulin R,,,,,,,,,,,,,,,,,,,
6,Riomet,,,,,,,,,,,,,,,,,,,
7,Novolin R,,,,,,,,,,,,,,,,,,,
8,insulin regular,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
