,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Elmiron,,,,,,,,,,,,,,,,,,,
1,phenazopyridine,,,,,,,,,,,,,,,,,,,
2,Pyridium,,,,,,,,,,,,,,,,,,,
3,amitriptyline,,,,,,,,,,,,,,,,,,,
4,Sanctura,,,,,,,,,,,,,,,,,,,
5,hydroxyzine,,,,,,,,,,,,,,,,,,,
6,Azo-Standard,,,,,,,,,,,,,,,,,,,
7,Tofranil,,,,,,,,,,,,,,,,,,,
8,Uristat,,,,,,,,,,,,,,,,,,,
9,Sanctura XR,,,,,,,,,,,,,,,,,,,
10,Azo Urinary Pain Relief,,,,,,,,,,,,,,,,,,,
11,pentosan polysulfate sodium,,,,,,,,,,,,,,,,,,,
12,trospium,,,,,,,,,,,,,,,,,,,
13,Uricalm,,,,,,,,,,,,,,,,,,,
14,imipramine,,,,,,,,,,,,,,,,,,,
15,Rimso-50,,,,,,,,,,,,,,,,,,,
16,Baridium,,,,,,,,,,,,,,,,,,,
17,dimethyl sulfoxide,,,,,,,,,,,,,,,,,,,
18,Azo-Gesic,,,,,,,,,,,,,,,,,,,
19,Prodium,,,,,,,,,,,,,,,,,,,
20,Pyridiate,,,,,,,,,,,,,,,,,,,
21,Tofranil-PM,,,,,,,,,,,,,,,,,,,
22,Azo-Septic,,,,,,,,,,,,,,,,,,,
23,Cryoserv,,,,,,,,,,,,,,,,,,,
24,Re-Azo,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
