,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Xalatan,,,,,,,,,,,,,,,,,,,
1,latanoprost,,,,,,,,,,,,,,,,,,,
2,Lumigan,,,,,,,,,,,,,,,,,,,
3,timolol,,,,,,,,,,,,,,,,,,,
4,Travatan Z,,,,,,,,,,,,,,,,,,,
5,Combigan,,,,,,,,,,,,,,,,,,,
6,Alphagan P,,,,,,,,,,,,,,,,,,,
7,Azopt,,,,,,,,,,,,,,,,,,,
8,brimonidine,,,,,,,,,,,,,,,,,,,
9,Cosopt,,,,,,,,,,,,,,,,,,,
10,dorzolamide / timolol,,,,,,,,,,,,,,,,,,,
11,Timoptic,,,,,,,,,,,,,,,,,,,
12,Zioptan,,,,,,,,,,,,,,,,,,,
13,dorzolamide,,,,,,,,,,,,,,,,,,,
14,travoprost,,,,,,,,,,,,,,,,,,,
15,Betimol,,,,,,,,,,,,,,,,,,,
16,Istalol,,,,,,,,,,,,,,,,,,,
17,Trusopt,,,,,,,,,,,,,,,,,,,
18,bimatoprost,,,,,,,,,,,,,,,,,,,
19,Simbrinza,,,,,,,,,,,,,,,,,,,
20,brimonidine / timolol,,,,,,,,,,,,,,,,,,,
21,Betagan,,,,,,,,,,,,,,,,,,,
22,pilocarpine,,,,,,,,,,,,,,,,,,,
23,Betoptic,,,,,,,,,,,,,,,,,,,
24,Pilocar,,,,,,,,,,,,,,,,,,,
25,levobunolol,,,,,,,,,,,,,,,,,,,
26,Timoptic-XE,,,,,,,,,,,,,,,,,,,
27,brinzolamide,,,,,,,,,,,,,,,,,,,
28,Isopto Carpine,,,,,,,,,,,,,,,,,,,
29,betaxolol,,,,,,,,,,,,,,,,,,,
30,Timoptic Ocudose,,,,,,,,,,,,,,,,,,,
31,tafluprost,,,,,,,,,,,,,,,,,,,
32,Betoptic S,,,,,,,,,,,,,,,,,,,
33,Cosopt PF,,,,,,,,,,,,,,,,,,,
34,carteolol,,,,,,,,,,,,,,,,,,,
35,Miostat,,,,,,,,,,,,,,,,,,,
36,Ocu-Carpine,,,,,,,,,,,,,,,,,,,
37,Ocupress,,,,,,,,,,,,,,,,,,,
38,Pilopine HS,,,,,,,,,,,,,,,,,,,
39,Pilostat,,,,,,,,,,,,,,,,,,,
40,AK-Beta,,,,,,,,,,,,,,,,,,,
41,brimonidine / brinzolamide,,,,,,,,,,,,,,,,,,,
42,carbachol,,,,,,,,,,,,,,,,,,,
43,Isopto Carbachol,,,,,,,,,,,,,,,,,,,
44,Izba,,,,,,,,,,,,,,,,,,,
45,metipranolol,,,,,,,,,,,,,,,,,,,
46,OptiPranolol,,,,,,,,,,,,,,,,,,,
47,Carbastat,,,,,,,,,,,,,,,,,,,
48,Carboptic,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
