,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,clindamycin,,,,,,,,,,,,,,,,,,,
1,Cipro,,,,,,,,,,,,,,,,,,,
2,ciprofloxacin,,,,,,,,,,,,,,,,,,,
3,cefuroxime,,,,,,,,,,,,,,,,,,,
4,metronidazole,,,,,,,,,,,,,,,,,,,
5,Flagyl,,,,,,,,,,,,,,,,,,,
6,Cleocin,,,,,,,,,,,,,,,,,,,
7,Ancef,,,,,,,,,,,,,,,,,,,
8,cefazolin,,,,,,,,,,,,,,,,,,,
9,ceftriaxone,,,,,,,,,,,,,,,,,,,
10,Unasyn,,,,,,,,,,,,,,,,,,,
11,Ceftin,,,,,,,,,,,,,,,,,,,
12,Amikin,,,,,,,,,,,,,,,,,,,
13,Cipro I.V.,,,,,,,,,,,,,,,,,,,
14,Cipro XR,,,,,,,,,,,,,,,,,,,
15,ceftazidime,,,,,,,,,,,,,,,,,,,
16,Cleocin Phosphate,,,,,,,,,,,,,,,,,,,
17,Flagyl 375,,,,,,,,,,,,,,,,,,,
18,Flagyl IV,,,,,,,,,,,,,,,,,,,
19,Mefoxin,,,,,,,,,,,,,,,,,,,
20,Metro,,,,,,,,,,,,,,,,,,,
21,Zinacef,,,,,,,,,,,,,,,,,,,
22,amikacin,,,,,,,,,,,,,,,,,,,
23,Claforan,,,,,,,,,,,,,,,,,,,
24,Cleocin HCl,,,,,,,,,,,,,,,,,,,
25,Cleocin Pediatric,,,,,,,,,,,,,,,,,,,
26,Floxin,,,,,,,,,,,,,,,,,,,
27,ofloxacin,,,,,,,,,,,,,,,,,,,
28,penicillin g sodium,,,,,,,,,,,,,,,,,,,
29,Zosyn,,,,,,,,,,,,,,,,,,,
30,ampicillin / sulbactam,,,,,,,,,,,,,,,,,,,
31,Kefzol,,,,,,,,,,,,,,,,,,,
32,Cefotan,,,,,,,,,,,,,,,,,,,
33,cefotaxime,,,,,,,,,,,,,,,,,,,
34,Fortaz,,,,,,,,,,,,,,,,,,,
35,piperacillin / tazobactam,,,,,,,,,,,,,,,,,,,
36,Bactocill,,,,,,,,,,,,,,,,,,,
37,cefoxitin,,,,,,,,,,,,,,,,,,,
38,cilastatin / imipenem,,,,,,,,,,,,,,,,,,,
39,nafcillin,,,,,,,,,,,,,,,,,,,
40,Pfizerpen,,,,,,,,,,,,,,,,,,,
41,piperacillin,,,,,,,,,,,,,,,,,,,
42,Pipracil,,,,,,,,,,,,,,,,,,,
43,Primaxin IM,,,,,,,,,,,,,,,,,,,
44,Primaxin IV,,,,,,,,,,,,,,,,,,,
45,Tazicef,,,,,,,,,,,,,,,,,,,
46,Unipen,,,,,,,,,,,,,,,,,,,
47,Amikin Pediatric,,,,,,,,,,,,,,,,,,,
48,cefotetan,,,,,,,,,,,,,,,,,,,
49,Ceptaz,,,,,,,,,,,,,,,,,,,
50,oxacillin,,,,,,,,,,,,,,,,,,,
51,penicillin g potassium,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
