,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Doxil,,,,,,,,,,,,,,,,,,,
1,Taxol,,,,,,,,,,,,,,,,,,,
2,Intron A,,,,,,,,,,,,,,,,,,,
3,Onxol,,,,,,,,,,,,,,,,,,,
4,paclitaxel,,,,,,,,,,,,,,,,,,,
5,Panretin,,,,,,,,,,,,,,,,,,,
6,Velban,,,,,,,,,,,,,,,,,,,
7,doxorubicin liposomal,,,,,,,,,,,,,,,,,,,
8,interferon alfa-2b,,,,,,,,,,,,,,,,,,,
9,vinblastine,,,,,,,,,,,,,,,,,,,
10,alitretinoin,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
