,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Ultravist,,,,,,,,,,,,,,,,,,,
1,ioversol,,,,,,,,,,,,,,,,,,,
2,Oxilan,,,,,,,,,,,,,,,,,,,
3,iopromide,,,,,,,,,,,,,,,,,,,
4,Optiray 350,,,,,,,,,,,,,,,,,,,
5,Optiray 160,,,,,,,,,,,,,,,,,,,
6,Optiray 300,,,,,,,,,,,,,,,,,,,
7,Optiray 320,,,,,,,,,,,,,,,,,,,
8,Optiray 240,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
