,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,Cytoxan,,,,,,,,,,,,,,,,,,,
2,vincristine,,,,,,,,,,,,,,,,,,,
3,cyclophosphamide,,,,,,,,,,,,,,,,,,,
4,asparaginase escherichia coli,,,,,,,,,,,,,,,,,,,
5,methotrexate,,,,,,,,,,,,,,,,,,,
6,daunorubicin,,,,,,,,,,,,,,,,,,,
7,Oncovin,,,,,,,,,,,,,,,,,,,
8,Trexall,,,,,,,,,,,,,,,,,,,
9,Elspar,,,,,,,,,,,,,,,,,,,
10,Vincasar PFS,,,,,,,,,,,,,,,,,,,
11,Erwinaze,,,,,,,,,,,,,,,,,,,
12,Cerubidine,,,,,,,,,,,,,,,,,,,
13,asparaginase erwinia chrysanthemi,,,,,,,,,,,,,,,,,,,
14,Vumon,,,,,,,,,,,,,,,,,,,
15,Neosar,,,,,,,,,,,,,,,,,,,
16,Cytoxan Lyophilized,,,,,,,,,,,,,,,,,,,
17,teniposide,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
