,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,dexamethasone,,,,,,,,,,,,,,,,,,,
2,Sprycel,,,,,,,,,,,,,,,,,,,
3,Decadron,,,,,,,,,,,,,,,,,,,
4,Baycadron,,,,,,,,,,,,,,,,,,,
5,Fludara,,,,,,,,,,,,,,,,,,,
6,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
7,Dexasone,,,,,,,,,,,,,,,,,,,
8,cytarabine,,,,,,,,,,,,,,,,,,,
9,Clinacort,,,,,,,,,,,,,,,,,,,
10,Idamycin,,,,,,,,,,,,,,,,,,,
11,Kenalog-40,,,,,,,,,,,,,,,,,,,
12,idarubicin,,,,,,,,,,,,,,,,,,,
13,triamcinolone,,,,,,,,,,,,,,,,,,,
14,Zema Pak,,,,,,,,,,,,,,,,,,,
15,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
16,Solurex,,,,,,,,,,,,,,,,,,,
17,dasatinib,,,,,,,,,,,,,,,,,,,
18,fludarabine,,,,,,,,,,,,,,,,,,,
19,Oforta,,,,,,,,,,,,,,,,,,,
20,Dexacen-4,,,,,,,,,,,,,,,,,,,
21,Dexasone LA,,,,,,,,,,,,,,,,,,,
22,Idamycin PFS,,,,,,,,,,,,,,,,,,,
23,De-Sone LA,,,,,,,,,,,,,,,,,,,
24,Solurex LA,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
