,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,clobetasol,,,,,,,,,,,,,,,,,,,
1,Clobex,,,,,,,,,,,,,,,,,,,
2,Temovate,,,,,,,,,,,,,,,,,,,
3,Cutivate,,,,,,,,,,,,,,,,,,,
4,betamethasone,,,,,,,,,,,,,,,,,,,
5,Synalar,,,,,,,,,,,,,,,,,,,
6,Betnovate,,,,,,,,,,,,,,,,,,,
7,triamcinolone,,,,,,,,,,,,,,,,,,,
8,Dermovate,,,,,,,,,,,,,,,,,,,
9,prednisone,,,,,,,,,,,,,,,,,,,
10,fluocinolone,,,,,,,,,,,,,,,,,,,
11,fluticasone,,,,,,,,,,,,,,,,,,,
12,Kenalog-40,,,,,,,,,,,,,,,,,,,
13,Retin-A,,,,,,,,,,,,,,,,,,,
14,Aristospan,,,,,,,,,,,,,,,,,,,
15,Diprosone,,,,,,,,,,,,,,,,,,,
16,Kenalog-10,,,,,,,,,,,,,,,,,,,
17,Valisone,,,,,,,,,,,,,,,,,,,
18,Diprolene,,,,,,,,,,,,,,,,,,,
19,Avita,,,,,,,,,,,,,,,,,,,
20,tretinoin,,,,,,,,,,,,,,,,,,,
21,Beta-Val,,,,,,,,,,,,,,,,,,,
22,Capex,,,,,,,,,,,,,,,,,,,
23,Clinacort,,,,,,,,,,,,,,,,,,,
24,Derma-Smoothe / FS,,,,,,,,,,,,,,,,,,,
25,Alphatrex,,,,,,,,,,,,,,,,,,,
26,Betacort,,,,,,,,,,,,,,,,,,,
27,Betamethacot,,,,,,,,,,,,,,,,,,,
28,Clobevate,,,,,,,,,,,,,,,,,,,
29,Clodan,,,,,,,,,,,,,,,,,,,
30,Cormax,,,,,,,,,,,,,,,,,,,
31,Cormax Scalp,,,,,,,,,,,,,,,,,,,
32,Del-Beta,,,,,,,,,,,,,,,,,,,
33,Diprolene AF,,,,,,,,,,,,,,,,,,,
34,Embeline,,,,,,,,,,,,,,,,,,,
35,Embeline E,,,,,,,,,,,,,,,,,,,
36,Luxiq,,,,,,,,,,,,,,,,,,,
37,Olux,,,,,,,,,,,,,,,,,,,
38,Olux-E,,,,,,,,,,,,,,,,,,,
39,Olux / Olux-E Kit,,,,,,,,,,,,,,,,,,,
40,Temovate E,,,,,,,,,,,,,,,,,,,
41,Derma-Smoothe / FS (Scalp),,,,,,,,,,,,,,,,,,,
42,Flurosyn,,,,,,,,,,,,,,,,,,,
43,Synalar Ointment,,,,,,,,,,,,,,,,,,,
44,Synalar TS,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
