,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Valium,,,,,,,,,,,,,,,,,,,
1,diazepam,,,,,,,,,,,,,,,,,,,
2,Versed,,,,,,,,,,,,,,,,,,,
3,Phenergan,,,,,,,,,,,,,,,,,,,
4,midazolam,,,,,,,,,,,,,,,,,,,
5,Demerol,,,,,,,,,,,,,,,,,,,
6,promethazine,,,,,,,,,,,,,,,,,,,
7,Thorazine,,,,,,,,,,,,,,,,,,,
8,chlorpromazine,,,,,,,,,,,,,,,,,,,
9,Diazepam Intensol,,,,,,,,,,,,,,,,,,,
10,Librium,,,,,,,,,,,,,,,,,,,
11,Diastat,,,,,,,,,,,,,,,,,,,
12,meperidine,,,,,,,,,,,,,,,,,,,
13,Promethegan,,,,,,,,,,,,,,,,,,,
14,Seconal,,,,,,,,,,,,,,,,,,,
15,Diastat Pediatric,,,,,,,,,,,,,,,,,,,
16,Phenadoz,,,,,,,,,,,,,,,,,,,
17,Diastat AcuDial,,,,,,,,,,,,,,,,,,,
18,Antinaus 50,,,,,,,,,,,,,,,,,,,
19,chlordiazepoxide,,,,,,,,,,,,,,,,,,,
20,Levo-Dromoran,,,,,,,,,,,,,,,,,,,
21,Meperitab,,,,,,,,,,,,,,,,,,,
22,levorphanol,,,,,,,,,,,,,,,,,,,
23,secobarbital,,,,,,,,,,,,,,,,,,,
24,Seconal Sodium,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
