,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Amoxil,,,,,,,,,,,,,,,,,,,
1,amoxicillin,,,,,,,,,,,,,,,,,,,
2,doxycycline,,,,,,,,,,,,,,,,,,,
3,minocycline,,,,,,,,,,,,,,,,,,,
4,Doryx,,,,,,,,,,,,,,,,,,,
5,Doxy 100,,,,,,,,,,,,,,,,,,,
6,Vibramycin,,,,,,,,,,,,,,,,,,,
7,Monodox,,,,,,,,,,,,,,,,,,,
8,Doxy 200,,,,,,,,,,,,,,,,,,,
9,Minocin,,,,,,,,,,,,,,,,,,,
10,Apo-Amoxi,,,,,,,,,,,,,,,,,,,
11,Moxilin,,,,,,,,,,,,,,,,,,,
12,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
13,Ximino,,,,,,,,,,,,,,,,,,,
14,Dynacin,,,,,,,,,,,,,,,,,,,
15,Morgidox,,,,,,,,,,,,,,,,,,,
16,Ocudox,,,,,,,,,,,,,,,,,,,
17,Oraxyl,,,,,,,,,,,,,,,,,,,
18,penicillin g sodium,,,,,,,,,,,,,,,,,,,
19,Pfizerpen,,,,,,,,,,,,,,,,,,,
20,Myrac,,,,,,,,,,,,,,,,,,,
21,penicillin g potassium,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
