,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,amoxicillin,,,,,,,,,,,,,,,,,,,
1,Amoxil,,,,,,,,,,,,,,,,,,,
2,doxycycline,,,,,,,,,,,,,,,,,,,
3,Doxy 200,,,,,,,,,,,,,,,,,,,
4,Doryx,,,,,,,,,,,,,,,,,,,
5,Doxy 100,,,,,,,,,,,,,,,,,,,
6,Apo-Amoxi,,,,,,,,,,,,,,,,,,,
7,Vibramycin,,,,,,,,,,,,,,,,,,,
8,Achromycin V,,,,,,,,,,,,,,,,,,,
9,cefotaxime,,,,,,,,,,,,,,,,,,,
10,Claforan,,,,,,,,,,,,,,,,,,,
11,ceftriaxone,,,,,,,,,,,,,,,,,,,
12,Moxilin,,,,,,,,,,,,,,,,,,,
13,Monodox,,,,,,,,,,,,,,,,,,,
14,Morgidox,,,,,,,,,,,,,,,,,,,
15,Ocudox,,,,,,,,,,,,,,,,,,,
16,Oraxyl,,,,,,,,,,,,,,,,,,,
17,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
18,Ala-Tet,,,,,,,,,,,,,,,,,,,
19,Brodspec,,,,,,,,,,,,,,,,,,,
20,Panmycin,,,,,,,,,,,,,,,,,,,
21,Sumycin,,,,,,,,,,,,,,,,,,,
22,Tetracap,,,,,,,,,,,,,,,,,,,
23,Tetracon,,,,,,,,,,,,,,,,,,,
24,tetracycline,,,,,,,,,,,,,,,,,,,
25,penicillin g potassium,,,,,,,,,,,,,,,,,,,
26,penicillin g sodium,,,,,,,,,,,,,,,,,,,
27,Pfizerpen,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
