,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,azithromycin,,,,,,,,,,,,,,,,,,,
1,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
2,Zithromax,,,,,,,,,,,,,,,,,,,
3,Doxy 100,,,,,,,,,,,,,,,,,,,
4,doxycycline,,,,,,,,,,,,,,,,,,,
5,amoxicillin,,,,,,,,,,,,,,,,,,,
6,Amoxil,,,,,,,,,,,,,,,,,,,
7,Vibramycin,,,,,,,,,,,,,,,,,,,
8,Doryx,,,,,,,,,,,,,,,,,,,
9,Monodox,,,,,,,,,,,,,,,,,,,
10,Zmax,,,,,,,,,,,,,,,,,,,
11,Penicillin VK,,,,,,,,,,,,,,,,,,,
12,Achromycin V,,,,,,,,,,,,,,,,,,,
13,Apo-Amoxi,,,,,,,,,,,,,,,,,,,
14,Doxy 200,,,,,,,,,,,,,,,,,,,
15,Morgidox,,,,,,,,,,,,,,,,,,,
16,Moxilin,,,,,,,,,,,,,,,,,,,
17,Ocudox,,,,,,,,,,,,,,,,,,,
18,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
19,Oraxyl,,,,,,,,,,,,,,,,,,,
20,tetracycline,,,,,,,,,,,,,,,,,,,
21,Sumycin,,,,,,,,,,,,,,,,,,,
22,Ala-Tet,,,,,,,,,,,,,,,,,,,
23,Brodspec,,,,,,,,,,,,,,,,,,,
24,Panmycin,,,,,,,,,,,,,,,,,,,
25,penicillin v potassium,,,,,,,,,,,,,,,,,,,
26,Tetracap,,,,,,,,,,,,,,,,,,,
27,Tetracon,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
