,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,erythromycin,,,,,,,,,,,,,,,,,,,
1,Doxy 100,,,,,,,,,,,,,,,,,,,
2,Doxy 200,,,,,,,,,,,,,,,,,,,
3,doxycycline,,,,,,,,,,,,,,,,,,,
4,Erythrocin,,,,,,,,,,,,,,,,,,,
5,Doryx,,,,,,,,,,,,,,,,,,,
6,Ery-Tab,,,,,,,,,,,,,,,,,,,
7,Erythrocin Stearate Filmtab,,,,,,,,,,,,,,,,,,,
8,Achromycin V,,,,,,,,,,,,,,,,,,,
9,Monodox,,,,,,,,,,,,,,,,,,,
10,Morgidox,,,,,,,,,,,,,,,,,,,
11,Vibramycin,,,,,,,,,,,,,,,,,,,
12,E.E.S.-400,,,,,,,,,,,,,,,,,,,
13,Ocudox,,,,,,,,,,,,,,,,,,,
14,Oraxyl,,,,,,,,,,,,,,,,,,,
15,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
16,E.E.S.-400 Filmtab,,,,,,,,,,,,,,,,,,,
17,E.E.S. Granules,,,,,,,,,,,,,,,,,,,
18,Eryc,,,,,,,,,,,,,,,,,,,
19,EryPed,,,,,,,,,,,,,,,,,,,
20,Erythrocin Lactobionate,,,,,,,,,,,,,,,,,,,
21,Ilosone,,,,,,,,,,,,,,,,,,,
22,PCE Dispertab,,,,,,,,,,,,,,,,,,,
23,Ala-Tet,,,,,,,,,,,,,,,,,,,
24,Brodspec,,,,,,,,,,,,,,,,,,,
25,Panmycin,,,,,,,,,,,,,,,,,,,
26,Sumycin,,,,,,,,,,,,,,,,,,,
27,Tetracap,,,,,,,,,,,,,,,,,,,
28,Tetracon,,,,,,,,,,,,,,,,,,,
29,tetracycline,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
