,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Targretin,,,,,,,,,,,,,,,,,,,
1,Targretin Gel,,,,,,,,,,,,,,,,,,,
2,romidepsin,,,,,,,,,,,,,,,,,,,
3,vorinostat,,,,,,,,,,,,,,,,,,,
4,Zolinza,,,,,,,,,,,,,,,,,,,
5,Istodax,,,,,,,,,,,,,,,,,,,
6,Actimmune,,,,,,,,,,,,,,,,,,,
7,Uvadex,,,,,,,,,,,,,,,,,,,
8,bexarotene,,,,,,,,,,,,,,,,,,,
9,8-MOP,,,,,,,,,,,,,,,,,,,
10,clobetasol,,,,,,,,,,,,,,,,,,,
11,methoxsalen,,,,,,,,,,,,,,,,,,,
12,interferon gamma-1b,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
