,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Rituxan,,,,,,,,,,,,,,,,,,,
1,rituximab,,,,,,,,,,,,,,,,,,,
2,cyclophosphamide,,,,,,,,,,,,,,,,,,,
3,vincristine,,,,,,,,,,,,,,,,,,,
4,methotrexate,,,,,,,,,,,,,,,,,,,
5,Treanda,,,,,,,,,,,,,,,,,,,
6,Cytoxan,,,,,,,,,,,,,,,,,,,
7,cytarabine,,,,,,,,,,,,,,,,,,,
8,Oncovin,,,,,,,,,,,,,,,,,,,
9,Bexxar,,,,,,,,,,,,,,,,,,,
10,bendamustine,,,,,,,,,,,,,,,,,,,
11,Trexall,,,,,,,,,,,,,,,,,,,
12,bleomycin,,,,,,,,,,,,,,,,,,,
13,carmustine,,,,,,,,,,,,,,,,,,,
14,fludarabine,,,,,,,,,,,,,,,,,,,
15,idelalisib,,,,,,,,,,,,,,,,,,,
16,Zydelig,,,,,,,,,,,,,,,,,,,
17,Zevalin,,,,,,,,,,,,,,,,,,,
18,BiCNU,,,,,,,,,,,,,,,,,,,
19,Fludara,,,,,,,,,,,,,,,,,,,
20,Cytoxan Lyophilized,,,,,,,,,,,,,,,,,,,
21,Folotyn,,,,,,,,,,,,,,,,,,,
22,Gliadel,,,,,,,,,,,,,,,,,,,
23,Mozobil,,,,,,,,,,,,,,,,,,,
24,Neosar,,,,,,,,,,,,,,,,,,,
25,ibritumomab,,,,,,,,,,,,,,,,,,,
26,iodine i 131 tositumomab,,,,,,,,,,,,,,,,,,,
27,Novantrone,,,,,,,,,,,,,,,,,,,
28,Vincasar PFS,,,,,,,,,,,,,,,,,,,
29,Vumon,,,,,,,,,,,,,,,,,,,
30,Y-90 Zevalin,,,,,,,,,,,,,,,,,,,
31,Bendeka,,,,,,,,,,,,,,,,,,,
32,Bleo 15k,,,,,,,,,,,,,,,,,,,
33,ibrutinib,,,,,,,,,,,,,,,,,,,
34,Imbruvica,,,,,,,,,,,,,,,,,,,
35,In-111 Zevalin,,,,,,,,,,,,,,,,,,,
36,mitoxantrone,,,,,,,,,,,,,,,,,,,
37,Oforta,,,,,,,,,,,,,,,,,,,
38,plerixafor,,,,,,,,,,,,,,,,,,,
39,pralatrexate,,,,,,,,,,,,,,,,,,,
40,teniposide,,,,,,,,,,,,,,,,,,,
41,tositumomab,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,
