,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,cyclobenzaprine,,,,,,,,,,,,,,,,,,,
1,amitriptyline,,,,,,,,,,,,,,,,,,,
2,ibuprofen,,,,,,,,,,,,,,,,,,,
3,naproxen,,,,,,,,,,,,,,,,,,,
4,clonazepam,,,,,,,,,,,,,,,,,,,
5,Aleve,,,,,,,,,,,,,,,,,,,
6,Advil,,,,,,,,,,,,,,,,,,,
7,Motrin,,,,,,,,,,,,,,,,,,,
8,Naprosyn,,,,,,,,,,,,,,,,,,,
9,IBU,,,,,,,,,,,,,,,,,,,
10,Addaprin,,,,,,,,,,,,,,,,,,,
11,Actiprofen,,,,,,,,,,,,,,,,,,,
12,Anaprox-DS,,,,,,,,,,,,,,,,,,,
13,EC-Naprosyn,,,,,,,,,,,,,,,,,,,
14,Flanax Pain Reliever,,,,,,,,,,,,,,,,,,,
15,Motrin IB,,,,,,,,,,,,,,,,,,,
16,Proprinal,,,,,,,,,,,,,,,,,,,
17,A-G Profen,,,,,,,,,,,,,,,,,,,
18,Aflaxen,,,,,,,,,,,,,,,,,,,
19,Anaprox,,,,,,,,,,,,,,,,,,,
20,Haltran,,,,,,,,,,,,,,,,,,,
21,NeoProfen,,,,,,,,,,,,,,,,,,,
22,Nuprin,,,,,,,,,,,,,,,,,,,
23,Q-Profen,,,,,,,,,,,,,,,,,,,
24,All Day Pain Relief,,,,,,,,,,,,,,,,,,,
25,Genpril,,,,,,,,,,,,,,,,,,,
26,Ibu-4,,,,,,,,,,,,,,,,,,,
27,Ibu-6,,,,,,,,,,,,,,,,,,,
28,Ibu-8,,,,,,,,,,,,,,,,,,,
29,IBU-200,,,,,,,,,,,,,,,,,,,
30,Ibu-Tab,,,,,,,,,,,,,,,,,,,
31,Naprelan,,,,,,,,,,,,,,,,,,,
32,All Day Relief,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
