,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Ozurdex,,,,,,,,,,,,,,,,,,,
1,Lucentis,,,,,,,,,,,,,,,,,,,
2,Eylea,,,,,,,,,,,,,,,,,,,
3,dexamethasone,,,,,,,,,,,,,,,,,,,
4,Maxidex,,,,,,,,,,,,,,,,,,,
5,Dexasol,,,,,,,,,,,,,,,,,,,
6,Ocu-Dex,,,,,,,,,,,,,,,,,,,
7,AK-Dex,,,,,,,,,,,,,,,,,,,
8,ranibizumab,,,,,,,,,,,,,,,,,,,
9,aflibercept,,,,,,,,,,,,,,,,,,,
10,fluocinolone,,,,,,,,,,,,,,,,,,,
11,Iluvien,,,,,,,,,,,,,,,,,,,
12,Retisert,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
