,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Yervoy,,,,,,,,,,,,,,,,,,,
1,ipilimumab,,,,,,,,,,,,,,,,,,,
2,Zelboraf,,,,,,,,,,,,,,,,,,,
3,Mekinist,,,,,,,,,,,,,,,,,,,
4,Tafinlar,,,,,,,,,,,,,,,,,,,
5,vemurafenib,,,,,,,,,,,,,,,,,,,
6,Keytruda,,,,,,,,,,,,,,,,,,,
7,temozolomide,,,,,,,,,,,,,,,,,,,
8,dabrafenib,,,,,,,,,,,,,,,,,,,
9,nivolumab,,,,,,,,,,,,,,,,,,,
10,trametinib,,,,,,,,,,,,,,,,,,,
11,Opdivo,,,,,,,,,,,,,,,,,,,
12,isotretinoin,,,,,,,,,,,,,,,,,,,
13,PegIntron,,,,,,,,,,,,,,,,,,,
14,Sylatron,,,,,,,,,,,,,,,,,,,
15,pembrolizumab,,,,,,,,,,,,,,,,,,,
16,peginterferon alfa-2b,,,,,,,,,,,,,,,,,,,
17,Cotellic,,,,,,,,,,,,,,,,,,,
18,dacarbazine,,,,,,,,,,,,,,,,,,,
19,DTIC-Dome,,,,,,,,,,,,,,,,,,,
20,aldesleukin,,,,,,,,,,,,,,,,,,,
21,cobimetinib,,,,,,,,,,,,,,,,,,,
22,Imlygic,,,,,,,,,,,,,,,,,,,
23,Proleukin,,,,,,,,,,,,,,,,,,,
24,talimogene laherparepvec,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
