,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Augmentin,,,,,,,,,,,,,,,,,,,
1,Bactrim,,,,,,,,,,,,,,,,,,,
2,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,
3,amoxicillin / clavulanate,,,,,,,,,,,,,,,,,,,
4,Bactrim DS,,,,,,,,,,,,,,,,,,,
5,Amoclan,,,,,,,,,,,,,,,,,,,
6,doxycycline,,,,,,,,,,,,,,,,,,,
7,Doryx,,,,,,,,,,,,,,,,,,,
8,ceftazidime,,,,,,,,,,,,,,,,,,,
9,Doxy 100,,,,,,,,,,,,,,,,,,,
10,Monodox,,,,,,,,,,,,,,,,,,,
11,Fortaz,,,,,,,,,,,,,,,,,,,
12,Co-trimoxazole,,,,,,,,,,,,,,,,,,,
13,Cotrim,,,,,,,,,,,,,,,,,,,
14,Doxy 200,,,,,,,,,,,,,,,,,,,
15,Morgidox,,,,,,,,,,,,,,,,,,,
16,Ocudox,,,,,,,,,,,,,,,,,,,
17,Oraxyl,,,,,,,,,,,,,,,,,,,
18,Septra DS,,,,,,,,,,,,,,,,,,,
19,Sulfatrim,,,,,,,,,,,,,,,,,,,
20,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
21,Vibramycin,,,,,,,,,,,,,,,,,,,
22,Ceptaz,,,,,,,,,,,,,,,,,,,
23,Tazicef,,,,,,,,,,,,,,,,,,,
24,Septra,,,,,,,,,,,,,,,,,,,
25,SMZ-TMP DS,,,,,,,,,,,,,,,,,,,
26,Sulfatrim Pediatric,,,,,,,,,,,,,,,,,,,
27,Augmentin ES-600,,,,,,,,,,,,,,,,,,,
28,Augmentin XR,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
