,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Menactra,,,,,,,,,,,,,,,,,,,
1,Menveo,,,,,,,,,,,,,,,,,,,
2,Cipro,,,,,,,,,,,,,,,,,,,
3,ciprofloxacin,,,,,,,,,,,,,,,,,,,
4,Rifadin,,,,,,,,,,,,,,,,,,,
5,rifampin,,,,,,,,,,,,,,,,,,,
6,Cipro I.V.,,,,,,,,,,,,,,,,,,,
7,Cipro XR,,,,,,,,,,,,,,,,,,,
8,ceftriaxone,,,,,,,,,,,,,,,,,,,
9,meningococcal conjugate vaccine,,,,,,,,,,,,,,,,,,,
10,meningococcal polysaccharide vaccine,,,,,,,,,,,,,,,,,,,
11,Rifadin IV,,,,,,,,,,,,,,,,,,,
12,Rimactane,,,,,,,,,,,,,,,,,,,
13,MenHibrix,,,,,,,,,,,,,,,,,,,
14,Menomune A / C / Y / W-135,,,,,,,,,,,,,,,,,,,
15,Bexsero,,,,,,,,,,,,,,,,,,,
16,haemophilus b conjugate (prp-t) vaccine / meningococcal conjugate vaccine,,,,,,,,,,,,,,,,,,,
17,meningococcal group B vaccine,,,,,,,,,,,,,,,,,,,
18,Trumenba,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
