,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Estratest,,,,,,,,,,,,,,,,,,,
1,Estratest H.S.,,,,,,,,,,,,,,,,,,,
2,esterified estrogens / methyltestosterone,,,,,,,,,,,,,,,,,,,
3,Covaryx,,,,,,,,,,,,,,,,,,,
4,Menogen,,,,,,,,,,,,,,,,,,,
5,EEMT,,,,,,,,,,,,,,,,,,,
6,EEMT HS,,,,,,,,,,,,,,,,,,,
7,Covaryx HS,,,,,,,,,,,,,,,,,,,
8,Essian,,,,,,,,,,,,,,,,,,,
9,Essian H.S.,,,,,,,,,,,,,,,,,,,
10,EEMT DS,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
