,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Yaz,,,,,,,,,,,,,,,,,,,
1,tranexamic acid,,,,,,,,,,,,,,,,,,,
2,Yasmin,,,,,,,,,,,,,,,,,,,
3,Lysteda,,,,,,,,,,,,,,,,,,,
4,Gianvi,,,,,,,,,,,,,,,,,,,
5,ethinyl estradiol / norethindrone,,,,,,,,,,,,,,,,,,,
6,Ocella,,,,,,,,,,,,,,,,,,,
7,femhrt,,,,,,,,,,,,,,,,,,,
8,Loestrin 24 Fe,,,,,,,,,,,,,,,,,,,
9,Microgestin Fe 1 / 20,,,,,,,,,,,,,,,,,,,
10,drospirenone / ethinyl estradiol,,,,,,,,,,,,,,,,,,,
11,Microgestin 1 / 20,,,,,,,,,,,,,,,,,,,
12,Necon 1 / 35,,,,,,,,,,,,,,,,,,,
13,Gildess Fe 1 / 20,,,,,,,,,,,,,,,,,,,
14,Balziva,,,,,,,,,,,,,,,,,,,
15,Loestrin 1 / 20,,,,,,,,,,,,,,,,,,,
16,Microgestin 1.5 / 30,,,,,,,,,,,,,,,,,,,
17,Estrostep Fe,,,,,,,,,,,,,,,,,,,
18,Loryna,,,,,,,,,,,,,,,,,,,
19,Dasetta 1 / 35,,,,,,,,,,,,,,,,,,,
20,Nortrel 1 / 35,,,,,,,,,,,,,,,,,,,
21,Cyclafem 1 / 35,,,,,,,,,,,,,,,,,,,
22,Loestrin Fe 1 / 20,,,,,,,,,,,,,,,,,,,
23,Vestura,,,,,,,,,,,,,,,,,,,
24,Junel 1.5 / 30,,,,,,,,,,,,,,,,,,,
25,Gildess Fe 1.5 / 30,,,,,,,,,,,,,,,,,,,
26,Junel 1 / 20,,,,,,,,,,,,,,,,,,,
27,Ortho-Novum 1 / 35,,,,,,,,,,,,,,,,,,,
28,Ortho-Novum 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
29,Syeda,,,,,,,,,,,,,,,,,,,
30,Alyacen 1 / 35,,,,,,,,,,,,,,,,,,,
31,Femcon Fe,,,,,,,,,,,,,,,,,,,
32,Necon 0.5 / 35,,,,,,,,,,,,,,,,,,,
33,Ovcon 35,,,,,,,,,,,,,,,,,,,
34,Zeosa,,,,,,,,,,,,,,,,,,,
35,Aranelle,,,,,,,,,,,,,,,,,,,
36,Brevicon,,,,,,,,,,,,,,,,,,,
37,Loestrin 21 1.5 / 30,,,,,,,,,,,,,,,,,,,
38,Modicon,,,,,,,,,,,,,,,,,,,
39,Necon 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
40,Philith,,,,,,,,,,,,,,,,,,,
41,Tilia Fe,,,,,,,,,,,,,,,,,,,
42,Alyacen 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
43,Briellyn,,,,,,,,,,,,,,,,,,,
44,Cyclafem 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
45,Dasetta 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
46,Gildagia,,,,,,,,,,,,,,,,,,,
47,Leena,,,,,,,,,,,,,,,,,,,
48,Nortrel 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
49,Tri-Legest,,,,,,,,,,,,,,,,,,,
50,Tri-Legest Fe,,,,,,,,,,,,,,,,,,,
51,Tri-Norinyl,,,,,,,,,,,,,,,,,,,
52,Wera,,,,,,,,,,,,,,,,,,,
53,Wymzya Fe,,,,,,,,,,,,,,,,,,,
54,Zenchent Fe,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
