,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Plavix,,,,,,,,,,,,,,,,,,,
1,aspirin,,,,,,,,,,,,,,,,,,,
2,clopidogrel,,,,,,,,,,,,,,,,,,,
3,Aspir 81,,,,,,,,,,,,,,,,,,,
4,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
5,Easprin,,,,,,,,,,,,,,,,,,,
6,Aspir-Low,,,,,,,,,,,,,,,,,,,
7,Arthritis Pain,,,,,,,,,,,,,,,,,,,
8,Bayer Children's Aspirin,,,,,,,,,,,,,,,,,,,
9,Ecotrin,,,,,,,,,,,,,,,,,,,
10,Ascriptin,,,,,,,,,,,,,,,,,,,
11,Bayer Aspirin Regimen,,,,,,,,,,,,,,,,,,,
12,ZORprin,,,,,,,,,,,,,,,,,,,
13,Fasprin,,,,,,,,,,,,,,,,,,,
14,Aspergum,,,,,,,,,,,,,,,,,,,
15,Aspirtab,,,,,,,,,,,,,,,,,,,
16,Ecpirin,,,,,,,,,,,,,,,,,,,
17,Halfprin,,,,,,,,,,,,,,,,,,,
18,St. Joseph Aspirin,,,,,,,,,,,,,,,,,,,
19,Aspiritab,,,,,,,,,,,,,,,,,,,
20,Buffasal,,,,,,,,,,,,,,,,,,,
21,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
22,Entercote,,,,,,,,,,,,,,,,,,,
23,Genacote,,,,,,,,,,,,,,,,,,,
24,Medi-Seltzer,,,,,,,,,,,,,,,,,,,
25,Norwich Aspirin,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
