,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Mucinex DM,,,,,,,,,,,,,,,,,,,
1,Mucomyst,,,,,,,,,,,,,,,,,,,
2,acetylcysteine,,,,,,,,,,,,,,,,,,,
3,dextromethorphan / guaifenesin,,,,,,,,,,,,,,,,,,,
4,Guaifenesin DM,,,,,,,,,,,,,,,,,,,
5,Robitussin Cough + Chest Congestion DM,,,,,,,,,,,,,,,,,,,
6,Mucomyst-10,,,,,,,,,,,,,,,,,,,
7,Coricidin HBP Chest Congestion & Cough,,,,,,,,,,,,,,,,,,,
8,Tussin DM,,,,,,,,,,,,,,,,,,,
9,Mucinex DM Maximum Strength,,,,,,,,,,,,,,,,,,,
10,Acys-5,,,,,,,,,,,,,,,,,,,
11,Mucinex Children's Cough,,,,,,,,,,,,,,,,,,,
12,Broncotron,,,,,,,,,,,,,,,,,,,
13,Delsym Cough+ Chest Congestion DM,,,,,,,,,,,,,,,,,,,
14,Guaifenex DM,,,,,,,,,,,,,,,,,,,
15,Q-Tussin DM,,,,,,,,,,,,,,,,,,,
16,Aquatab DM,,,,,,,,,,,,,,,,,,,
17,Phlemex,,,,,,,,,,,,,,,,,,,
18,Vicks Pediatric Formula 44e Cough & Chest Congestion Relief,,,,,,,,,,,,,,,,,,,
19,Atuss-12 DX,,,,,,,,,,,,,,,,,,,
20,Bidex-A,,,,,,,,,,,,,,,,,,,
21,Biocotron,,,,,,,,,,,,,,,,,,,
22,Biospec DMX,,,,,,,,,,,,,,,,,,,
23,Cheracol-D,,,,,,,,,,,,,,,,,,,
24,Duratuss DM 12,,,,,,,,,,,,,,,,,,,
25,Fenesin DM IR,,,,,,,,,,,,,,,,,,,
26,Guiadrine DX,,,,,,,,,,,,,,,,,,,
27,HT Tuss DM,,,,,,,,,,,,,,,,,,,
28,Humibid CS,,,,,,,,,,,,,,,,,,,
29,Pecgen DMX,,,,,,,,,,,,,,,,,,,
30,Phanatuss,,,,,,,,,,,,,,,,,,,
31,Safetussin DM,,,,,,,,,,,,,,,,,,,
32,Tusnel Diabetic,,,,,,,,,,,,,,,,,,,
33,Tussi-Organidin-DM,,,,,,,,,,,,,,,,,,,
34,Tussin DM Clear,,,,,,,,,,,,,,,,,,,
35,Vicks DayQuil Mucus Control DM,,,,,,,,,,,,,,,,,,,
36,Zyncof,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
