,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ethambutol,,,,,,,,,,,,,,,,,,,
1,azithromycin,,,,,,,,,,,,,,,,,,,
2,clarithromycin,,,,,,,,,,,,,,,,,,,
3,Zithromax,,,,,,,,,,,,,,,,,,,
4,rifabutin,,,,,,,,,,,,,,,,,,,
5,Myambutol,,,,,,,,,,,,,,,,,,,
6,Biaxin,,,,,,,,,,,,,,,,,,,
7,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
8,rifampin,,,,,,,,,,,,,,,,,,,
9,Mycobutin,,,,,,,,,,,,,,,,,,,
10,Cipro,,,,,,,,,,,,,,,,,,,
11,ciprofloxacin,,,,,,,,,,,,,,,,,,,
12,Zmax,,,,,,,,,,,,,,,,,,,
13,Cipro XR,,,,,,,,,,,,,,,,,,,
14,Biaxin XL,,,,,,,,,,,,,,,,,,,
15,Cipro I.V.,,,,,,,,,,,,,,,,,,,
16,ofloxacin,,,,,,,,,,,,,,,,,,,
17,Floxin,,,,,,,,,,,,,,,,,,,
18,streptomycin,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
