,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Zofran,,,,,,,,,,,,,,,,,,,
1,ondansetron,,,,,,,,,,,,,,,,,,,
2,Reglan,,,,,,,,,,,,,,,,,,,
3,Zofran ODT,,,,,,,,,,,,,,,,,,,
4,metoclopramide,,,,,,,,,,,,,,,,,,,
5,Emend,,,,,,,,,,,,,,,,,,,
6,Zuplenz,,,,,,,,,,,,,,,,,,,
7,Inapsine,,,,,,,,,,,,,,,,,,,
8,Aloxi,,,,,,,,,,,,,,,,,,,
9,Anzemet,,,,,,,,,,,,,,,,,,,
10,droperidol,,,,,,,,,,,,,,,,,,,
11,granisetron,,,,,,,,,,,,,,,,,,,
12,aprepitant,,,,,,,,,,,,,,,,,,,
13,Emend 2-Day,,,,,,,,,,,,,,,,,,,
14,Emend 3-Day,,,,,,,,,,,,,,,,,,,
15,palonosetron,,,,,,,,,,,,,,,,,,,
16,dolasetron,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
