,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lyrica,,,,,,,,,,,,,,,,,,,
1,baclofen,,,,,,,,,,,,,,,,,,,
2,nortriptyline,,,,,,,,,,,,,,,,,,,
3,pregabalin,,,,,,,,,,,,,,,,,,,
4,Lioresal,,,,,,,,,,,,,,,,,,,
5,methylprednisolone,,,,,,,,,,,,,,,,,,,
6,citalopram,,,,,,,,,,,,,,,,,,,
7,levetiracetam,,,,,,,,,,,,,,,,,,,
8,Kemstro,,,,,,,,,,,,,,,,,,,
9,Medrol Dosepak,,,,,,,,,,,,,,,,,,,
10,Solu-Medrol,,,,,,,,,,,,,,,,,,,
11,MethylPREDNISolone Dose Pack,,,,,,,,,,,,,,,,,,,
12,Medrol,,,,,,,,,,,,,,,,,,,
13,Depo-Medrol,,,,,,,,,,,,,,,,,,,
14,desvenlafaxine,,,,,,,,,,,,,,,,,,,
15,P-Bloc,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
