,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,vincristine,,,,,,,,,,,,,,,,,,,
1,cisplatin,,,,,,,,,,,,,,,,,,,
2,Adriamycin,,,,,,,,,,,,,,,,,,,
3,Platinol,,,,,,,,,,,,,,,,,,,
4,Platinol-AQ,,,,,,,,,,,,,,,,,,,
5,Oncovin,,,,,,,,,,,,,,,,,,,
6,Vincasar PFS,,,,,,,,,,,,,,,,,,,
7,cyclophosphamide,,,,,,,,,,,,,,,,,,,
8,doxorubicin,,,,,,,,,,,,,,,,,,,
9,Unituxin,,,,,,,,,,,,,,,,,,,
10,dinutuximab,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
