,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,insulin regular,,,,,,,,,,,,,,,,,,,
1,Humulin R,,,,,,,,,,,,,,,,,,,
2,Novolin R,,,,,,,,,,,,,,,,,,,
3,Humalog,,,,,,,,,,,,,,,,,,,
4,Humalog KwikPen,,,,,,,,,,,,,,,,,,,
5,insulin aspart,,,,,,,,,,,,,,,,,,,
6,insulin lispro,,,,,,,,,,,,,,,,,,,
7,Novolog,,,,,,,,,,,,,,,,,,,
8,NovoLog FlexPen,,,,,,,,,,,,,,,,,,,
9,NovoLog PenFill,,,,,,,,,,,,,,,,,,,
10,Apidra,,,,,,,,,,,,,,,,,,,
11,Apidra Solostar,,,,,,,,,,,,,,,,,,,
12,insulin glulisine,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
