,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Sustiva,,,,,,,,,,,,,,,,,,,
1,Combivir,,,,,,,,,,,,,,,,,,,
2,Epivir,,,,,,,,,,,,,,,,,,,
3,lamivudine / zidovudine,,,,,,,,,,,,,,,,,,,
4,Ziagen,,,,,,,,,,,,,,,,,,,
5,zidovudine,,,,,,,,,,,,,,,,,,,
6,raltegravir,,,,,,,,,,,,,,,,,,,
7,Retrovir,,,,,,,,,,,,,,,,,,,
8,Epivir-HBV,,,,,,,,,,,,,,,,,,,
9,lamivudine,,,,,,,,,,,,,,,,,,,
10,abacavir,,,,,,,,,,,,,,,,,,,
11,Viracept,,,,,,,,,,,,,,,,,,,
12,efavirenz,,,,,,,,,,,,,,,,,,,
13,tenofovir,,,,,,,,,,,,,,,,,,,
14,Viread,,,,,,,,,,,,,,,,,,,
15,Crixivan,,,,,,,,,,,,,,,,,,,
16,emtricitabine,,,,,,,,,,,,,,,,,,,
17,Emtriva,,,,,,,,,,,,,,,,,,,
18,Isentress,,,,,,,,,,,,,,,,,,,
19,AccessPak for HIV PEP Basic,,,,,,,,,,,,,,,,,,,
20,Atripla,,,,,,,,,,,,,,,,,,,
21,efavirenz / emtricitabine / tenofovir,,,,,,,,,,,,,,,,,,,
22,emtricitabine / tenofovir,,,,,,,,,,,,,,,,,,,
23,indinavir,,,,,,,,,,,,,,,,,,,
24,nelfinavir,,,,,,,,,,,,,,,,,,,
25,Truvada,,,,,,,,,,,,,,,,,,,
26,abacavir / lamivudine / zidovudine,,,,,,,,,,,,,,,,,,,
27,abacavir / lamivudine,,,,,,,,,,,,,,,,,,,
28,Epzicom,,,,,,,,,,,,,,,,,,,
29,Fortovase,,,,,,,,,,,,,,,,,,,
30,Invirase,,,,,,,,,,,,,,,,,,,
31,saquinavir,,,,,,,,,,,,,,,,,,,
32,Trizivir,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
