,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,doxycycline,,,,,,,,,,,,,,,,,,,
1,Oracea,,,,,,,,,,,,,,,,,,,
2,minocycline,,,,,,,,,,,,,,,,,,,
3,Doxy 100,,,,,,,,,,,,,,,,,,,
4,Doryx,,,,,,,,,,,,,,,,,,,
5,erythromycin,,,,,,,,,,,,,,,,,,,
6,Minocin,,,,,,,,,,,,,,,,,,,
7,tetracycline,,,,,,,,,,,,,,,,,,,
8,Erythrocin,,,,,,,,,,,,,,,,,,,
9,Vibramycin,,,,,,,,,,,,,,,,,,,
10,Monodox,,,,,,,,,,,,,,,,,,,
11,Ocudox,,,,,,,,,,,,,,,,,,,
12,Achromycin V,,,,,,,,,,,,,,,,,,,
13,Ery-Tab,,,,,,,,,,,,,,,,,,,
14,Oraxyl,,,,,,,,,,,,,,,,,,,
15,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
16,Doxy 200,,,,,,,,,,,,,,,,,,,
17,Morgidox,,,,,,,,,,,,,,,,,,,
18,Dynacin,,,,,,,,,,,,,,,,,,,
19,EryPed,,,,,,,,,,,,,,,,,,,
20,Ilosone,,,,,,,,,,,,,,,,,,,
21,Erythrocin Stearate Filmtab,,,,,,,,,,,,,,,,,,,
22,Sumycin,,,,,,,,,,,,,,,,,,,
23,Ala-Tet,,,,,,,,,,,,,,,,,,,
24,E.E.S.-400,,,,,,,,,,,,,,,,,,,
25,E.E.S.-400 Filmtab,,,,,,,,,,,,,,,,,,,
26,E.E.S. Granules,,,,,,,,,,,,,,,,,,,
27,Eryc,,,,,,,,,,,,,,,,,,,
28,Erythrocin Lactobionate,,,,,,,,,,,,,,,,,,,
29,Myrac,,,,,,,,,,,,,,,,,,,
30,PCE Dispertab,,,,,,,,,,,,,,,,,,,
31,Brodspec,,,,,,,,,,,,,,,,,,,
32,Panmycin,,,,,,,,,,,,,,,,,,,
33,Tetracap,,,,,,,,,,,,,,,,,,,
34,Tetracon,,,,,,,,,,,,,,,,,,,
35,Ximino,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
