,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,methadone,,,,,,,,,,,,,,,,,,,
1,Robaxin,,,,,,,,,,,,,,,,,,,
2,clonidine,,,,,,,,,,,,,,,,,,,
3,Catapres,,,,,,,,,,,,,,,,,,,
4,Methadose,,,,,,,,,,,,,,,,,,,
5,methocarbamol,,,,,,,,,,,,,,,,,,,
6,Dolophine,,,,,,,,,,,,,,,,,,,
7,Methadone Diskets,,,,,,,,,,,,,,,,,,,
8,Robaxin-750,,,,,,,,,,,,,,,,,,,
9,Thorazine,,,,,,,,,,,,,,,,,,,
10,Catapres-TTS,,,,,,,,,,,,,,,,,,,
11,chlorpromazine,,,,,,,,,,,,,,,,,,,
12,chlordiazepoxide,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
