,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,calcium carbonate,,,,,,,,,,,,,,,,,,,
1,Caltrate,,,,,,,,,,,,,,,,,,,
2,Calcium Oyster Shell,,,,,,,,,,,,,,,,,,,
3,Alcalak,,,,,,,,,,,,,,,,,,,
4,Oyster Shell Calcium 500,,,,,,,,,,,,,,,,,,,
5,Tums Kids,,,,,,,,,,,,,,,,,,,
6,Oysco 500,,,,,,,,,,,,,,,,,,,
7,Oyster Calcium,,,,,,,,,,,,,,,,,,,
8,Cal-Gest,,,,,,,,,,,,,,,,,,,
9,cholecalciferol / genistein / zinc glycinate,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
