,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,pancreatin,,,,,,,,,,,,,,,,,,,
1,Pancreatin 4X,,,,,,,,,,,,,,,,,,,
2,Flexbumin,,,,,,,,,,,,,,,,,,,
3,Albuminar-25,,,,,,,,,,,,,,,,,,,
4,Albutein,,,,,,,,,,,,,,,,,,,
5,Albumin-Alpine,,,,,,,,,,,,,,,,,,,
6,albumin human,,,,,,,,,,,,,,,,,,,
7,Pan-2400,,,,,,,,,,,,,,,,,,,
8,Plasbumin,,,,,,,,,,,,,,,,,,,
9,Buminate,,,,,,,,,,,,,,,,,,,
10,Alburx,,,,,,,,,,,,,,,,,,,
11,Human Albumin Grifols,,,,,,,,,,,,,,,,,,,
12,Albuminar-5,,,,,,,,,,,,,,,,,,,
13,Albuminar-20,,,,,,,,,,,,,,,,,,,
14,Hi-Vegi-Lip,,,,,,,,,,,,,,,,,,,
15,Albunex,,,,,,,,,,,,,,,,,,,
16,Kedbumin,,,,,,,,,,,,,,,,,,,
17,Albuked,,,,,,,,,,,,,,,,,,,
18,Albumarc,,,,,,,,,,,,,,,,,,,
19,Plasbumin-5,,,,,,,,,,,,,,,,,,,
20,Plasbumin-25,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
